"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"thrL",152.333204303214,-0.0608580847441587,0.248956392498782,-0.244452790038145,0.806880161038087,0.842500224804405
"thrA",14781.2496053614,-2.79493000436762,0.192769044806664,-14.4988527964683,1.23191586988825e-47,3.38432539907809e-46
"thrB",3449.49566056711,-2.59125532423639,0.23595188087711,-10.982134639503,4.65785319320952e-28,5.56802288474749e-27
"thrC",5411.9050882637,-1.85998364972787,0.179186580911077,-10.3801503453593,3.05294025082089e-25,3.26163157714512e-24
"yaaX",120.38655265674,0.221092781734276,0.250659211866079,0.882045308003281,0.377752306357297,0.440379138381214
"yaaA",383.144813101066,1.32874137956103,0.186146616524133,7.13814413805779,9.45994077141239e-13,4.76010444049568e-12
"yaaJ",246.969964338475,0.340527924515993,0.158038287831946,2.15471787999945,0.0311839177611363,0.04794107342979
"talB",8528.86879310218,0.879210216955973,0.121436828416506,7.24006241286575,4.48478308565159e-13,2.29055376302968e-12
"mog",495.438151926821,1.41342597808143,0.153611270038246,9.20131691984265,3.53589339850519e-20,2.8908052683158e-19
"satP",365.440283055885,0.729022765694185,0.176465258179495,4.1312537845418,3.6078999326017e-05,9.00549740513392e-05
"yaaW",24.7395752955876,0.146053917777252,0.38964120176308,0.37484207808716,0.707777918267261,0.755794720544687
"yaaI",15.7577283104405,-0.625353395828557,0.450707472062541,-1.38749285199732,0.165291529257731,0.214709084847854
"dnaK",18055.507991066,1.43412807393618,0.340599643886699,4.21059769050505,2.54695957232794e-05,6.48170436617173e-05
"dnaJ",4744.29320127637,2.02212398557073,0.264899286795212,7.63355768161803,2.28362461163952e-14,1.28832546649e-13
"insL-1",1223.73474609332,0.72684891611607,0.228553886401045,3.18020807942275,0.0014716933508534,0.00290723523484796
"mokC",73.4356432600418,-0.417207311745423,0.254846466617619,-1.63709278485472,0.101611083945077,0.139529905088195
"sokC",8.71129557271852,-0.208658902969193,0.618708830372219,-0.337248949305706,0.735929240167134,0.779831104278686
"nhaA",669.44157889452,-0.807710959110451,0.184305131658459,-4.38246592399414,1.17343523986691e-05,3.13034020864376e-05
"nhaR",522.709454221812,0.00854848900743354,0.156144855562586,0.054747170354307,0.956339889179199,0.964627441240501
"insB-1",144.729685414094,0.108647690286613,0.181782902986993,0.597678266224996,0.550054629977465,0.607615291805776
"insA-1",178.729954956369,0.712592394698596,0.184847842589679,3.85502143122326,0.000115719491486744,0.000268816864940057
"rpsT",6483.99813770476,1.42942791539332,0.164998390492789,8.66328399400832,4.58364622266917e-18,3.33445184915555e-17
"yaaY",136.642401127413,0.140656450273435,0.185567855624512,0.757978529201989,0.448463836392633,0.510305003438285
"ribF",2395.78427060712,0.192100922547819,0.116287003692707,1.65195521810376,0.0985436802259983,0.135793275005774
"ileS",7925.33694408666,-0.00236838103941459,0.178330485477324,-0.0132808534282589,0.989403723593313,0.991870505315781
"lspA",1679.48263673972,-0.975380909674587,0.157932735757865,-6.17592613079277,6.57767378473161e-10,2.67399367186286e-09
"fkpB",1182.20351400835,-0.0644136369544861,0.145063124694175,-0.444038669994764,0.657014626117314,0.709120471282791
"ispH",928.998018771269,-0.172302513007366,0.142448918817834,-1.20957403143023,0.226442387805224,0.283245102166998
"rihC",120.392540437902,1.6063796797124,0.235644692756758,6.81695675349063,9.2989241478371e-12,4.32938331640879e-11
"dapB",559.401918772978,-0.194583620118815,0.143976046571455,-1.3514999526136,0.176535335077836,0.227377922844866
"carA",2521.93401764712,-3.60988287991933,0.314284898757032,-11.4860207862232,1.5509267534634e-30,2.02352478777835e-29
