"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",143.463566978168,0.10167835144762,0.288108101784276,0.352917362677128,0.724150393790996,0.772257981251444
"b0002",17901.4683121371,-3.85014290587634,0.431835412889214,-8.91576464310044,4.84461521335876e-19,3.22572456400788e-18
"b0003",4489.83766093757,-3.79734414137725,0.348531819853141,-10.8952581229952,1.2142177488731e-27,1.22518040054864e-26
"b0004",7587.6568009762,-3.26344245663091,0.42127547694028,-7.74657589929816,9.44035949415679e-15,4.91734123739884e-14
"b0005",122.102033112597,-0.161788289205112,0.23720823450708,-0.682051740494207,0.495206234682959,0.562193113799131
"b0006",364.918676219697,1.24510889477113,0.234002444437127,5.32092259876229,1.03242324417976e-07,3.11207402624208e-07
"b0007",221.07093911758,1.32170857942467,0.224362117054568,5.89096143669927,3.83955155724802e-09,1.30784724918761e-08
"b0008",9707.45840525431,0.76811670428448,0.191192473150788,4.01750493430087,5.88176041305604e-05,0.000131835650385559
"b0009",525.852364168765,1.51867041636297,0.146643018926785,10.3562408048978,3.92069505355617e-25,3.52503224316165e-24
"b0010",329.761293217222,0.811216743858658,0.159287420061323,5.09278600624176,3.52839871636253e-07,1.00816101476563e-06
"b0011",18.0170319688641,0.963236220583136,0.391005479932398,2.46348521956693,0.0137593568356661,0.0220194601236353
"b0013",15.5314894551082,-0.441451231069966,0.402804486570222,-1.09594417586758,0.273103205099815,0.334660402196567
"b0014",17694.3496535039,1.53129379005349,0.365156340549218,4.19352923668346,2.74647659907777e-05,6.41328799081134e-05
"b0015",4822.57072953358,1.88189549627944,0.327620882027638,5.7441256022279,9.23971872750557e-09,3.05992035428157e-08
"b0016",1132.63743881133,1.13426863574251,0.281557874009012,4.02854524930177,5.61230596350811e-05,0.000126212555659228
"b0018",73.3096249343357,-1.00079427955236,0.334028863664501,-2.99613113840832,0.00273428817426092,0.00490870888380433
"b4413",8.17309110510966,-1.588683318119,0.620804890071516,-2.55907023853499,0.0104952533784614,0.017112205369979
"b0019",320.966365448351,-0.231143894381981,0.206604178713865,-1.11877647306496,0.263235511043276,0.323917258118618
"b0020",433.900486172967,-0.519056718897994,0.140710497861492,-3.68882725018091,0.000225290116530744,0.000471459217551537
"b0021",129.977307589826,0.0203076286219943,0.205177964675159,0.0989756802303097,0.921157579638656,0.936099681820585
"b0022",192.889859848187,0.822573263630608,0.168532904440464,4.88078732376673,1.05663144651226e-06,2.88466265963412e-06
"b0023",7231.55547133219,1.04384547190636,0.125861596325507,8.29359790739288,1.09873422100776e-16,6.45853824053096e-16
"b0024",177.477621276486,-0.378503102771432,0.196470521225802,-1.926513455606,0.054040293367466,0.0776060101075727
"b0025",3229.67895000166,-0.457310225717748,0.114938033587894,-3.97875456402376,6.92772102518851e-05,0.000153641921455386
"b0026",10710.0446956966,-0.328764133103526,0.169155066779979,-1.94356657096859,0.0519477403079881,0.0748566344343442
"b0027",1753.38943223794,-0.47738934346864,0.170511794867567,-2.79974381736711,0.00511431771817833,0.00883818969148492
"b0028",1637.97212559417,-0.146234420553771,0.123275113666416,-1.18624445927897,0.235525773328863,0.293211654359917
"b0029",1326.53077091517,0.0632839791590393,0.125362386986063,0.504808345473469,0.613693453682477,0.674505104265229
"b0030",153.901772419192,2.16107022740488,0.350377998950957,6.16782513135868,6.92356490304314e-10,2.51246011216473e-09
"b0031",612.047951520071,-0.374246522763981,0.11384059761073,-3.28746098157084,0.00101095197372403,0.00193514746600904
"b0032",2027.83798394264,-4.42178374348568,0.350492167451326,-12.6159274132702,1.7251473859279e-36,2.48877880234598e-35
"b0033",3420.20487669088,-3.46907624829472,0.341982509017289,-10.1440165997476,3.52308804899759e-24,3.03170997900582e-23
"b0034",200.985657482836,0.680025296097887,0.228752383768936,2.97275720101253,0.00295137817623002,0.00527590968170376
"b0035",42.3588417493775,1.27610824346974,0.295132675777046,4.32384601301742,1.53332341903387e-05,3.69479052037392e-05
"b0036",32.899358653933,3.01072110267121,0.441420710370266,6.8205252538917,9.0708239682421e-12,3.7955594699341e-11
"b0037",128.01110490469,1.62599283078625,0.203041063555846,8.00819697410135,1.16402363865465e-15,6.41921593109424e-15
"b0038",162.036897806227,1.7165149003735,0.223660291833546,7.67465197466065,1.6586836598834e-14,8.48957567136842e-14
"b0039",101.406166642076,1.18641101461055,0.23200263386372,5.11378252415643,3.15770886521796e-07,9.0694247140564e-07
"b0040",21.4208577809325,-0.716516766804303,0.37585092996728,-1.90638550998578,0.0566002072869102,0.0808875412975283
"b0041",4.88180605613888,-0.0759454358381748,0.713558064637854,-0.106432033497819,0.915239578356126,0.930862400907018
"b0042",4.94965901069948,-1.21335577767057,0.742543441444454,-1.63405359194912,0.102247598148289,0.138585207867861
"b0043",13.0388615744431,-0.285748083038155,0.431011575279343,-0.662970786464282,0.507349264224015,0.573912447640465
"b0044",1.88112103926356,0.0461643252814148,1.21135774478332,0.0381095720733369,0.969600319444655,0.975678279049107
"b0045",11.9440968996673,-0.0720026715788384,0.544046346258166,-0.132346576857022,0.89471016835237,0.914493641628047
"b0046",56.067570208435,0.646692317444936,0.260864245810656,2.479037767078,0.013173735635195,0.0211628296803379
"b0047",122.462626866552,0.149918386553421,0.218386098905279,0.686483193321045,0.492408458975554,0.559304552205733
"b0048",951.012190264627,2.45160120416731,0.320079045783296,7.65936176224147,1.86859358515113e-14,9.54182346055484e-14
"b0049",831.203873088926,0.681600513642955,0.116592258837494,5.84601859882452,5.03477777444867e-09,1.69405689674571e-08
"b0050",837.949038433679,0.00816557202429472,0.120544262818193,0.0677392007997108,0.945993243236943,0.956721001665403
"b0051",2211.75895451815,0.542346446699921,0.168038113015793,3.22752045334471,0.00124868113751169,0.0023556849921134
"b0052",1990.95216905106,0.518712309993684,0.183188541004314,2.8315761845686,0.00463191977348362,0.00805341072865043
"b0053",4167.08336135891,0.530660890749172,0.145651876441332,3.64335086999664,0.000269111597981707,0.000558005236867189
"b0054",8222.12586713636,0.153732078845949,0.142219094483333,1.08095245159901,0.279718264946925,0.341486803265543
"b0055",772.328912053734,0.129920059363807,0.114251345072377,1.13714249299651,0.255478722578591,0.315339248098193
"b0056",345.790365366471,-0.163355311094543,0.162346992147303,-1.00621088776517,0.314314135829473,0.378333947544434
"b0057",159.067314068318,-0.965563024978609,0.261224366499513,-3.69629769962677,0.000218766429868796,0.000458459247403655
"b0058",574.265402803722,2.30307571926163,0.245497291626097,9.38126732073816,6.51844530004747e-21,4.8484712345509e-20
"b0059",4040.61219427196,3.05130426982499,0.191566887505517,15.9281403459516,4.04200420651236e-57,1.09134113575834e-55
"b0060",582.30983599966,-0.222401861116057,0.24391693437484,-0.911793441837375,0.361877463339746,0.427598517642748
"b0061",16.1658816637321,0.0641060743775349,0.39111904834013,0.163904250252179,0.869806521135339,0.89494485201071
