Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
PCU1T,contig_4_MOBP_MOBP,1,1,0.33,0.58,0.33,0,0.33,0.58,0.33,1,pil,pilS,#FFD87F,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0.33,0.58,0.33,1,0.33,0.58,0.33,,pil,pilS,#FFD87F,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,0,0.33,0.58,0.33,,pil,pilS,#FFD87F,,,,,,
5243T,contig_4_MOBP_MOBP,79,1,84.33,10.12,5.84,38,51.33,15.95,9.21,1.64289889,pil,pilT,#06AED5,,,,,,
5243T,contig_4_MOBP_MOBP,78,2,84.33,10.12,5.84,47,51.33,15.95,9.21,,pil,pilT,#06AED5,,,,,,
5243T,contig_4_MOBP_MOBP,96,3,84.33,10.12,5.84,69,51.33,15.95,9.21,,pil,pilT,#06AED5,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,1,0,0,0,0,0,0,0,,pil,pilT,#06AED5,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0,0,0,0,0,0,0,,pil,pilT,#06AED5,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0,0,0,0,0,0,0,,pil,pilT,#06AED5,,,,,,
5243T,contig_4_MOBP_MOBP,587,1,637.33,96.86,55.92,113,106,12.12,7,6.01254717,pil,pilU,#3D3D3D,,,,,,
5243T,contig_4_MOBP_MOBP,576,2,637.33,96.86,55.92,92,106,12.12,7,,pil,pilU,#3D3D3D,,,,,,
5243T,contig_4_MOBP_MOBP,749,3,637.33,96.86,55.92,113,106,12.12,7,,pil,pilU,#3D3D3D,,,,,,
PCU1T,contig_4_MOBP_MOBP,1,1,0.67,0.58,0.33,0,0.33,0.58,0.33,2.03030303,pil,pilU,#3D3D3D,,,,,,
PCU1T,contig_4_MOBP_MOBP,1,2,0.67,0.58,0.33,1,0.33,0.58,0.33,,pil,pilU,#3D3D3D,,,,,,
