Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
5243T,contig_4_MOBP_MOBP,731,3,513,189.11,109.18,264,239.67,25.03,14.45,,trakey,traI,#FF5C85,,,,,,
PCU1T,contig_4_MOBP_MOBP,1,1,0.33,0.58,0.33,0,0,0,0,,trakey,traI,#FF5C85,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0.33,0.58,0.33,0,0,0,0,,trakey,traI,#FF5C85,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,0,0,0,0,,trakey,traI,#FF5C85,,,,,,
41T,000001F_arrow_MOBF_40484121453,45,1,62.33,26.63,15.38,61,52.67,7.23,4.18,1.183406114,trakey,traI_1,#FF5C85,,,,,,
41T,000001F_arrow_MOBF_40484121453,93,2,62.33,26.63,15.38,49,52.67,7.23,4.18,,trakey,traI_1,#FF5C85,,,,,,
41T,000001F_arrow_MOBF_40484121453,49,3,62.33,26.63,15.38,48,52.67,7.23,4.18,,trakey,traI_1,#FF5C85,,,,,,
41T,000001F_arrow_MOBF_40484121453,949,1,1456.67,796.78,460.02,1840,1706.33,130.16,75.15,0.853685981,trakey,traI_2,#FF5C85,,,,,,
41T,000001F_arrow_MOBF_40484121453,2375,2,1456.67,796.78,460.02,1580,1706.33,130.16,75.15,,trakey,traI_2,#FF5C85,,,,,,
41T,000001F_arrow_MOBF_40484121453,1046,3,1456.67,796.78,460.02,1699,1706.33,130.16,75.15,,trakey,traI_2,#FF5C85,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,5205,1,5105,313.21,180.83,1560,1792.33,204.86,118.27,2.848247812,trakey,traI_3,#FF5C85,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,4754,2,5105,313.21,180.83,1947,1792.33,204.86,118.27,,trakey,traI_3,#FF5C85,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,5356,3,5105,313.21,180.83,1870,1792.33,204.86,118.27,,trakey,traI_3,#FF5C85,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,9725,1,15391.67,8629.31,4982.13,16709,15590.33,981.59,566.72,0.987257486,trakey,traI_4,#FF5C85,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,25323,2,15391.67,8629.31,4982.13,14873,15590.33,981.59,566.72,,trakey,traI_4,#FF5C85,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,11127,3,15391.67,8629.31,4982.13,15189,15590.33,981.59,566.72,,trakey,traI_4,#FF5C85,,,,,,
92T,NC_000913.3;000001F_arrow_MOBP_MOBP_2732881987,1261,1,1165.67,101.48,58.59,900,965.33,59.69,34.46,1.207535247,trakey,traJ,#FFE7AD,,,,,,
92T,NC_000913.3;000001F_arrow_MOBP_MOBP_2732881987,1177,2,1165.67,101.48,58.59,979,965.33,59.69,34.46,,trakey,traJ,#FFE7AD,,,,,,
92T,NC_000913.3;000001F_arrow_MOBP_MOBP_2732881987,1059,3,1165.67,101.48,58.59,1017,965.33,59.69,34.46,,trakey,traJ,#FFE7AD,,,,,,
2560T,7arrow_MOBF,497,1,329.67,174.38,100.68,64,64.67,1.15,0.67,5.097726921,trakey,traJ,#FFE7AD,,,,,,
2560T,7arrow_MOBF,149,2,329.67,174.38,100.68,64,64.67,1.15,0.67,,trakey,traJ,#FFE7AD,,,,,,
2560T,7arrow_MOBF,343,3,329.67,174.38,100.68,66,64.67,1.15,0.67,,trakey,traJ,#FFE7AD,,,,,,
5243T,contig_4_MOBP_MOBP;contig_6_MOBF,512,1,674.33,239.99,138.56,308,326,32.05,18.5,2.068496933,trakey,traJ,#FFE7AD,,,,,,
5243T,contig_4_MOBP_MOBP;contig_6_MOBF,561,2,674.33,239.99,138.56,307,326,32.05,18.5,,trakey,traJ,#FFE7AD,,,,,,
5243T,contig_4_MOBP_MOBP;contig_6_MOBF,950,3,674.33,239.99,138.56,363,326,32.05,18.5,,trakey,traJ,#FFE7AD,,,,,,
PCU1T,contig_4_MOBP_MOBP;contig_6_MOBF,1061,1,1128,63.79,36.83,803,892.33,86.64,50.02,1.264106328,trakey,traJ,#FFE7AD,,,,,,
PCU1T,contig_4_MOBP_MOBP;contig_6_MOBF,1135,2,1128,63.79,36.83,898,892.33,86.64,50.02,,trakey,traJ,#FFE7AD,,,,,,
PCU1T,contig_4_MOBP_MOBP;contig_6_MOBF,1188,3,1128,63.79,36.83,976,892.33,86.64,50.02,,trakey,traJ,#FFE7AD,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,1,0,0,0,0,0,0,0,,trakey,traJ_1,#FFE7AD,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,2,0,0,0,0,0,0,0,,trakey,traJ_1,#FFE7AD,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,3,0,0,0,0,0,0,0,,trakey,traJ_1,#FFE7AD,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,2255,1,2964.67,2130.09,1229.81,729,945,191.29,110.44,3.137216931,trakey,traJ_2,#FFE7AD,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,5359,2,2964.67,2130.09,1229.81,1013,945,191.29,110.44,,trakey,traJ_2,#FFE7AD,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,1280,3,2964.67,2130.09,1229.81,1093,945,191.29,110.44,,trakey,traJ_2,#FFE7AD,,,,,,
2560T,7arrow_MOBF,264,1,165,88.9,51.33,55,56,6.56,3.79,2.946428571,trabasic,traK,#47D1FF,,,,,,
2560T,7arrow_MOBF,92,2,165,88.9,51.33,63,56,6.56,3.79,,trabasic,traK,#47D1FF,,,,,,
2560T,7arrow_MOBF,139,3,165,88.9,51.33,50,56,6.56,3.79,,trabasic,traK,#47D1FF,,,,,,
5243T,contig_6_MOBF,0,1,0,0,0,0,0,0,0,,trabasic,traK,#47D1FF,,,,,,
5243T,contig_6_MOBF,0,2,0,0,0,0,0,0,0,,trabasic,traK,#47D1FF,,,,,,
5243T,contig_6_MOBF,0,3,0,0,0,0,0,0,0,,trabasic,traK,#47D1FF,,,,,,
5243T,contig_3_-,2,1,0.67,1.15,0.67,2,3,1,0.58,0.223333333,trabasic,traL,#666666,,,,,,
5243T,contig_3_-,0,2,0.67,1.15,0.67,4,3,1,0.58,,trabasic,traL,#666666,,,,,,
5243T,contig_3_-,0,3,0.67,1.15,0.67,3,3,1,0.58,,trabasic,traL,#666666,,,,,,
PCU1T,contig_3_-,5,1,3.33,2.89,1.67,25,15,10,5.77,0.222,trabasic,traL,#666666,,,,,,
PCU1T,contig_3_-,5,2,3.33,2.89,1.67,15,15,10,5.77,,trabasic,traL,#666666,,,,,,
PCU1T,contig_3_-,0,3,3.33,2.89,1.67,5,15,10,5.77,,trabasic,traL,#666666,,,,,,
2560T,7arrow_MOBF,180,1,126,60.26,34.79,35,39,4,2.31,3.230769231,trakey,traM,#FFADC2,,,,,,
2560T,7arrow_MOBF,61,2,126,60.26,34.79,39,39,4,2.31,,trakey,traM,#FFADC2,,,,,,
2560T,7arrow_MOBF,137,3,126,60.26,34.79,43,39,4,2.31,,trakey,traM,#FFADC2,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP;contig_6_MOBF;contig_9_-,297,1,365.67,109.55,63.25,95,99.67,14.57,8.41,3.668807063,trakey,traM,#FFADC2,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP;contig_6_MOBF;contig_9_-,308,2,365.67,109.55,63.25,88,99.67,14.57,8.41,,trakey,traM,#FFADC2,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP;contig_6_MOBF;contig_9_-,492,3,365.67,109.55,63.25,116,99.67,14.57,8.41,,trakey,traM,#FFADC2,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP;contig_6_MOBF;contig_9_-,16818,1,17969.33,1038.4,599.52,6562,7311,650.77,375.72,2.457848448,trakey,traM,#FFADC2,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP;contig_6_MOBF;contig_9_-,18255,2,17969.33,1038.4,599.52,7633,7311,650.77,375.72,,trakey,traM,#FFADC2,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP;contig_6_MOBF;contig_9_-,18835,3,17969.33,1038.4,599.52,7738,7311,650.77,375.72,,trakey,traM,#FFADC2,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,1,0,0,0,0,0,0,0,,trakey,traM_1,#FFADC2,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,2,0,0,0,0,0,0,0,,trakey,traM_1,#FFADC2,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,3,0,0,0,0,0,0,0,,trakey,traM_1,#FFADC2,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,5495,1,3579,1664.16,960.8,1671,2110.33,384.72,222.12,1.695943288,trakey,traM_2,#FFADC2,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,2748,2,3579,1664.16,960.8,2387,2110.33,384.72,222.12,,trakey,traM_2,#FFADC2,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,2494,3,3579,1664.16,960.8,2273,2110.33,384.72,222.12,,trakey,traM_2,#FFADC2,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,171,1,213.33,67.35,38.89,89,76.33,11.15,6.44,2.794838203,trabasic,traN,#ADEBFF,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,178,2,213.33,67.35,38.89,68,76.33,11.15,6.44,,trabasic,traN,#ADEBFF,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,291,3,213.33,67.35,38.89,72,76.33,11.15,6.44,,trabasic,traN,#ADEBFF,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,2,1,1,1,0.58,2,0.67,1.15,0.67,1.492537313,trabasic,traN,#ADEBFF,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,1,1,0.58,0,0.67,1.15,0.67,,trabasic,traN,#ADEBFF,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,3,1,1,0.58,0,0.67,1.15,0.67,,trabasic,traN,#ADEBFF,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,341,1,417,123.92,71.55,127,127.67,0.58,0.33,3.266233258,trabasic,traO,#999999,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,350,2,417,123.92,71.55,128,127.67,0.58,0.33,,trabasic,traO,#999999,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,560,3,417,123.92,71.55,128,127.67,0.58,0.33,,trabasic,traO,#999999,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,7927,1,7773.67,135.51,78.24,2549,2605,59.81,34.53,2.984134357,trabasic,traO,#999999,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,7670,2,7773.67,135.51,78.24,2598,2605,59.81,34.53,,trabasic,traO,#999999,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,7724,3,7773.67,135.51,78.24,2668,2605,59.81,34.53,,trabasic,traO,#999999,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,197,1,242,71.13,41.06,62,70.33,9.07,5.24,3.440921371,trabasic,traP,#2C6417,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,205,2,242,71.13,41.06,69,70.33,9.07,5.24,,trabasic,traP,#2C6417,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,324,3,242,71.13,41.06,80,70.33,9.07,5.24,,trabasic,traP,#2C6417,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0,0,0,1,0.33,0.58,0.33,,trabasic,traP,#2C6417,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,0,0,0,0,0.33,0.58,0.33,,trabasic,traP,#2C6417,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0,0,0,0,0.33,0.58,0.33,,trabasic,traP,#2C6417,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,177,1,226.33,134.94,77.91,697,602,93.06,53.73,0.375963455,trabasic,traQ,#47A025,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,379,2,226.33,134.94,77.91,511,602,93.06,53.73,,trabasic,traQ,#47A025,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,123,3,226.33,134.94,77.91,598,602,93.06,53.73,,trabasic,traQ,#47A025,,,,,,
2560T,7arrow_MOBF,44,1,27.33,14.98,8.65,4,4,1,0.58,6.8325,trabasic,traQ,#47A025,,,,,,
2560T,7arrow_MOBF,15,2,27.33,14.98,8.65,3,4,1,0.58,,trabasic,traQ,#47A025,,,,,,
2560T,7arrow_MOBF,23,3,27.33,14.98,8.65,5,4,1,0.58,,trabasic,traQ,#47A025,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,169,1,207.33,33.38,19.27,39,37,8.19,4.73,5.603513514,trabasic,traQ,#47A025,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,230,2,207.33,33.38,19.27,28,37,8.19,4.73,,trabasic,traQ,#47A025,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,223,3,207.33,33.38,19.27,44,37,8.19,4.73,,trabasic,traQ,#47A025,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0,0,0,0,0,0,0,,trabasic,traQ,#47A025,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,0,0,0,0,0,0,0,,trabasic,traQ,#47A025,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0,0,0,0,0,0,0,,trabasic,traQ,#47A025,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,61,1,43.67,15.14,8.74,76,62,12.77,7.37,0.704354839,trabasic,traR,#7ED85A,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,33,2,43.67,15.14,8.74,59,62,12.77,7.37,,trabasic,traR,#7ED85A,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,37,3,43.67,15.14,8.74,51,62,12.77,7.37,,trabasic,traR,#7ED85A,,,,,,
PCU1T,contig_4_MOBP_MOBP,1,1,0.67,0.58,0.33,2,0.67,1.15,0.67,1,trabasic,traR,#7ED85A,,,,,,
PCU1T,contig_4_MOBP_MOBP,1,2,0.67,0.58,0.33,0,0.67,1.15,0.67,,trabasic,traR,#7ED85A,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0.67,0.58,0.33,0,0.67,1.15,0.67,,trabasic,traR,#7ED85A,,,,,,
5243T,contig_3_-,1,1,0.33,0.58,0.33,0,0.67,0.58,0.33,0.492537313,trabasic,traS,#B1E99B,,,,,,
5243T,contig_3_-,0,2,0.33,0.58,0.33,1,0.67,0.58,0.33,,trabasic,traS,#B1E99B,,,,,,
5243T,contig_3_-,0,3,0.33,0.58,0.33,1,0.67,0.58,0.33,,trabasic,traS,#B1E99B,,,,,,
PCU1T,contig_3_-,0,1,0,0,0,1,0.33,0.58,0.33,,trabasic,traS,#B1E99B,,,,,,
PCU1T,contig_3_-,0,2,0,0,0,0,0.33,0.58,0.33,,trabasic,traS,#B1E99B,,,,,,
PCU1T,contig_3_-,0,3,0,0,0,0,0.33,0.58,0.33,,trabasic,traS,#B1E99B,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,188,1,233,39.13,22.59,72,67.67,6.66,3.84,3.443180139,trabasic,traT,#1F332C,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,252,2,233,39.13,22.59,71,67.67,6.66,3.84,,trabasic,traT,#1F332C,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,259,3,233,39.13,22.59,60,67.67,6.66,3.84,,trabasic,traT,#1F332C,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,6,1,4.33,3.79,2.19,11,5.33,4.93,2.85,0.812382739,trabasic,traT,#1F332C,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,7,2,4.33,3.79,2.19,3,5.33,4.93,2.85,,trabasic,traT,#1F332C,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,4.33,3.79,2.19,2,5.33,4.93,2.85,,trabasic,traT,#1F332C,,,,,,
2560T,7arrow_MOBF,219,1,151,61.58,35.55,47,45.33,1.53,0.88,3.331127289,trabasic,traU,#477164,,,,,,
2560T,7arrow_MOBF,135,2,151,61.58,35.55,45,45.33,1.53,0.88,,trabasic,traU,#477164,,,,,,
2560T,7arrow_MOBF,99,3,151,61.58,35.55,44,45.33,1.53,0.88,,trabasic,traU,#477164,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,563,1,667.67,113.32,65.42,336,357,18.25,10.54,1.87022409,trabasic,traU,#477164,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,652,2,667.67,113.32,65.42,366,357,18.25,10.54,,trabasic,traU,#477164,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,788,3,667.67,113.32,65.42,369,357,18.25,10.54,,trabasic,traU,#477164,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0.33,0.58,0.33,1,0.33,0.58,0.33,1,trabasic,traU,#477164,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,2,0.33,0.58,0.33,0,0.33,0.58,0.33,,trabasic,traU,#477164,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,0,0.33,0.58,0.33,,trabasic,traU,#477164,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,94,1,114.67,34.08,19.68,62,59,5.2,3,1.943559322,trabasic,traV,#75A998,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,96,2,114.67,34.08,19.68,53,59,5.2,3,,trabasic,traV,#75A998,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,154,3,114.67,34.08,19.68,62,59,5.2,3,,trabasic,traV,#75A998,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0,0,0,2,0.67,1.15,0.67,,trabasic,traV,#75A998,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,0,0,0,0,0.67,1.15,0.67,,trabasic,traV,#75A998,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0,0,0,0,0.67,1.15,0.67,,trabasic,traV,#75A998,,,,,,
41T,000001F_arrow_MOBF_40484121453,99,1,84,15,8.66,58,62,5.29,3.06,1.35483871,trabasic,traV_1,#75A998,,,,,,
41T,000001F_arrow_MOBF_40484121453,69,2,84,15,8.66,60,62,5.29,3.06,,trabasic,traV_1,#75A998,,,,,,
41T,000001F_arrow_MOBF_40484121453,84,3,84,15,8.66,68,62,5.29,3.06,,trabasic,traV_1,#75A998,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,583,1,516.33,59.18,34.17,385,381,8.72,5.03,1.35519685,trabasic,traV_2,#75A998,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,470,2,516.33,59.18,34.17,387,381,8.72,5.03,,trabasic,traV_2,#75A998,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,496,3,516.33,59.18,34.17,371,381,8.72,5.03,,trabasic,traV_2,#75A998,,,,,,
2560T,000001Farrow_MOBF,9,1,8,3.61,2.08,0,2,3.46,2,4,trabasic,traW,#A7C8BD,,,,,,
2560T,000001Farrow_MOBF,4,2,8,3.61,2.08,0,2,3.46,2,,trabasic,traW,#A7C8BD,,,,,,
2560T,000001Farrow_MOBF,11,3,8,3.61,2.08,6,2,3.46,2,,trabasic,traW,#A7C8BD,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,382,1,473.33,104.96,60.6,182,204.33,30.44,17.57,2.316497822,trabasic,traW,#A7C8BD,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,450,2,473.33,104.96,60.6,192,204.33,30.44,17.57,,trabasic,traW,#A7C8BD,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,588,3,473.33,104.96,60.6,239,204.33,30.44,17.57,,trabasic,traW,#A7C8BD,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,1,0.67,0.58,0.33,2,1.33,1.15,0.67,0.503759398,trabasic,traW,#A7C8BD,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,2,0.67,0.58,0.33,0,1.33,1.15,0.67,,trabasic,traW,#A7C8BD,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0.67,0.58,0.33,2,1.33,1.15,0.67,,trabasic,traW,#A7C8BD,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,1101,1,938,143.1,82.62,386,403.67,21.08,12.17,2.323680234,trabasic,traX,#05382A,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,880,2,938,143.1,82.62,398,403.67,21.08,12.17,,trabasic,traX,#05382A,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,833,3,938,143.1,82.62,427,403.67,21.08,12.17,,trabasic,traX,#05382A,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,209,1,273.33,62.58,36.13,77,87.33,9.61,5.55,3.129852284,trabasic,traX,#05382A,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,277,2,273.33,62.58,36.13,96,87.33,9.61,5.55,,trabasic,traX,#05382A,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,334,3,273.33,62.58,36.13,89,87.33,9.61,5.55,,trabasic,traX,#05382A,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,2,1,1.67,0.58,0.33,4,2.67,2.31,1.33,0.625468165,trabasic,traX,#05382A,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,2,2,1.67,0.58,0.33,0,2.67,2.31,1.33,,trabasic,traX,#05382A,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,3,1.67,0.58,0.33,4,2.67,2.31,1.33,,trabasic,traX,#05382A,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,247,1,209.33,40.2,23.21,156,146.33,9.5,5.49,1.430533725,trakey,traY,#86CB92,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,167,2,209.33,40.2,23.21,146,146.33,9.5,5.49,,trakey,traY,#86CB92,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,214,3,209.33,40.2,23.21,137,146.33,9.5,5.49,,trakey,traY,#86CB92,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,502,1,572.33,96.23,55.56,258,243,28.62,16.52,2.35526749,trakey,traY,#86CB92,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,533,2,572.33,96.23,55.56,210,243,28.62,16.52,,trakey,traY,#86CB92,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,682,3,572.33,96.23,55.56,261,243,28.62,16.52,,trakey,traY,#86CB92,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0,0,0,0,0.33,0.58,0.33,,trakey,traY,#86CB92,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,0,0,0,1,0.33,0.58,0.33,,trakey,traY,#86CB92,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0,0,0,0,0.33,0.58,0.33,,trakey,traY,#86CB92,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,1,0,0,0,0,0,0,0,,trakey,traY_1,#86CB92,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,2,0,0,0,0,0,0,0,,trakey,traY_1,#86CB92,,,,,,
41T,000001F_arrow_MOBF_40484121453,0,3,0,0,0,0,0,0,0,,trakey,traY_1,#86CB92,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,28235,1,30594,7126.6,4114.54,23986,22530.67,1347.6,778.04,1.357882389,trakey,traY_2,#86CB92,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,38601,2,30594,7126.6,4114.54,21326,22530.67,1347.6,778.04,,trakey,traY_2,#86CB92,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,24946,3,30594,7126.6,4114.54,22280,22530.67,1347.6,778.04,,trakey,traY_2,#86CB92,,,,,,
2560T,7arrow_MOBF,83,1,46.67,31.79,18.35,14,12.33,4.73,2.73,3.785077048,trb,trbA,#00394C,,,,,,
2560T,7arrow_MOBF,24,2,46.67,31.79,18.35,7,12.33,4.73,2.73,,trb,trbA,#00394C,,,,,,
2560T,7arrow_MOBF,33,3,46.67,31.79,18.35,16,12.33,4.73,2.73,,trb,trbA,#00394C,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,772,1,988.33,297.04,171.49,536,590.33,88.96,51.36,1.674199177,trb,trbA,#00394C,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,866,2,988.33,297.04,171.49,542,590.33,88.96,51.36,,trb,trbA,#00394C,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,1327,3,988.33,297.04,171.49,693,590.33,88.96,51.36,,trb,trbA,#00394C,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0.33,0.58,0.33,0,0.67,0.58,0.33,0.492537313,trb,trbA,#00394C,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,2,0.33,0.58,0.33,1,0.67,0.58,0.33,,trb,trbA,#00394C,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,1,0.67,0.58,0.33,,trb,trbA,#00394C,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,932,1,1108,316.17,182.54,360,373.67,49.92,28.82,2.965183183,trb,trbB,#FFB300,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,919,2,1108,316.17,182.54,332,373.67,49.92,28.82,,trb,trbB,#FFB300,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,1473,3,1108,316.17,182.54,429,373.67,49.92,28.82,,trb,trbB,#FFB300,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,1,0.33,0.58,0.33,3,1,1.73,1,0.33,trb,trbB,#FFB300,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,0.33,0.58,0.33,0,1,1.73,1,,trb,trbB,#FFB300,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,0,1,1.73,1,,trb,trbB,#FFB300,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,936,1,1083,241.74,139.57,292,302,20.88,12.06,3.586092715,trb,trbC,#EF0038,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,951,2,1083,241.74,139.57,288,302,20.88,12.06,,trb,trbC,#EF0038,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,1362,3,1083,241.74,139.57,326,302,20.88,12.06,,trb,trbC,#EF0038,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,1,0.67,0.58,0.33,2,0.67,1.15,0.67,1,trb,trbC,#EF0038,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,2,0.67,0.58,0.33,0,0.67,1.15,0.67,,trb,trbC,#EF0038,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,3,0.67,0.58,0.33,0,0.67,1.15,0.67,,trb,trbC,#EF0038,,,,,,
5243T,contig_3_-,0,1,0,0,0,0,0.33,0.58,0.33,,trb,trbD,#040F0F,,,,,,
5243T,contig_3_-,0,2,0,0,0,1,0.33,0.58,0.33,,trb,trbD,#040F0F,,,,,,
5243T,contig_3_-,0,3,0,0,0,0,0.33,0.58,0.33,,trb,trbD,#040F0F,,,,,,
PCU1T,contig_3_-,0,1,0,0,0,0,0,0,0,,trb,trbD,#040F0F,,,,,,
