"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"thrL",163.79405057488,-0.660458842216953,0.230466492759699,-2.86574778966066,0.0041602554615733,0.00853405719449751
"thrA",32865.4880263086,-5.47199419417164,0.26826552783069,-20.3976792636032,1.75341831254193e-92,2.7428472174763e-90
"thrB",3641.30231780757,-4.6256941080425,0.294469549339331,-15.7085651756546,1.32135857384959e-55,6.40215769188188e-54
"thrC",5661.10566734729,-4.30700095094536,0.22818792984502,-18.8747974262731,1.83827377433762e-79,1.79724087758902e-77
"yaaX",96.8872220680331,-0.434976017329749,0.23347216366009,-1.86307442613599,0.0624517957272195,0.0975252657177771
"yaaA",774.125606976778,0.931900252743812,0.282524792822437,3.29847247540324,0.000972124101646031,0.00229116636096083
"yaaJ",293.814512775052,1.369724756518,0.335254514809259,4.08562657924919,4.39580277836791e-05,0.000130418853823816
"talB",11916.1186120803,0.699354495823161,0.112070929343522,6.24028461189509,4.36775439547838e-10,2.40578021280122e-09
"mog",1149.81673042833,1.64884712606711,0.129164204070117,12.7655114506185,2.55467124731294e-37,6.78972091215455e-36
"satP",288.396289913176,0.696909531815253,0.237675517333878,2.93218897609996,0.00336581869827765,0.00705777762277677
"yaaW",47.9131344182425,1.04206223671333,0.290492624760964,3.58722441773109,0.000334216661688265,0.000849506138692318
"yaaI",31.4267827904032,0.0362805095095931,0.303166064547998,0.119672066739017,0.904742928816519,0.928137068628525
"dnaK",15635.3378233965,1.66095737838165,0.57861226459522,2.87058792219623,0.0040970924001593,0.00842026309717423
"dnaJ",7834.05800439092,2.10055639228013,0.336497706853975,6.24240923339094,4.30881824406934e-10,2.37570794423763e-09
"insL-1",1025.0923426627,1.43316217101288,0.180596581230808,7.93571041735975,2.09293828525397e-15,1.79605597363095e-14
"mokC",90.8641783178444,-0.0419825705973911,0.501278256019603,-0.0837510306765616,0.933254383018902,0.95076837434514
"sokC",13.5472187517986,-1.5434830778965,0.482888801267961,-3.1963530192534,0.00139176715073681,0.00317761682664054
"nhaA",873.628245074741,-1.12668991491045,0.210681056162217,-5.3478463390792,8.90069801583529e-08,3.84013566877054e-07
"nhaR",928.878724915632,-1.08242989182971,0.181297460002384,-5.97046363371817,2.36580314464417e-09,1.20715491304071e-08
"insB-1",129.026136759386,-0.0933478627351868,0.233991969151767,-0.398936181756911,0.689940228352332,0.747708382864018
"insA-1",247.07735319765,0.107357934010955,0.233399802787418,0.459974398987547,0.645534596518516,0.708703011016417
"rpsT",8753.96932759136,0.42818737211581,0.461623082028816,0.927569241628783,0.353631058978582,0.434109876212497
"yaaY",124.734321052934,-0.400112393939459,0.220660083221608,-1.81325225703657,0.0697929232738951,0.107693640569301
"ribF",6583.88751333574,0.210002505156587,0.193291195407702,1.08645665268734,0.277277008792384,0.353950017052531
"ileS",23292.8350965806,0.24779385666338,0.128480650329075,1.92864727901602,0.0537746653753456,0.0853875559541813
"lspA",3746.79218205739,0.153993454839807,0.105071591401511,1.4656050487648,0.14275591503112,0.200561620424784
"fkpB",3459.55696109568,0.325572425171109,0.108604100005058,2.99779129108336,0.00271943837789148,0.00582508807470886
"ispH",2763.66998302961,0.62714274713004,0.211617559564993,2.96356667385831,0.00304096175814283,0.00643823110047642
"rihC",467.757525324938,2.58923606197213,0.17641486181065,14.6769724239629,9.05438454551813e-49,3.69862849398678e-47
"dapB",1050.05921049039,-0.304502506552254,0.185469523420227,-1.64179268343904,0.100632975869038,0.148428217371493
"carA",6584.17452956239,-3.00858019206716,0.506623531799629,-5.93849279242928,2.87654296217347e-09,1.45019085800182e-08
"carB",11293.4435319376,-2.64219778402816,0.360801948062255,-7.32312505023466,2.42261848690554e-13,1.76615661994778e-12
"caiF",419.711734933008,1.2921427484942,0.238125761344339,5.42630390428742,5.75329682792867e-08,2.52600642605529e-07
"caiE",37.0214086101513,1.48183580838269,0.369130894551099,4.01439118279371,5.95994316741747e-05,0.000172923629261318
"caiD",38.1947641371964,2.75002455875752,0.394605764211817,6.96904305047446,3.19104051653614e-12,2.12800813983378e-11
"caiC",257.958962794292,1.34608217398869,0.351662929676585,3.8277624975332,0.000129313443258076,0.000353995550918982
"caiB",297.87156647576,1.64312677688567,0.295728493030122,5.55620041900498,2.75710285849094e-08,1.24650191166291e-07
"caiA",114.031205253958,1.24834599092763,0.370353218066655,3.37069027628364,0.000749801054877962,0.00179264662683705
"caiT",16.7669034994714,-0.618666436151816,0.416939108503487,-1.48382922957836,0.137854230576951,0.194774687073241
"fixA",10.037087152271,0.249241486823932,0.590635544817458,0.421988634126249,0.673033313539445,0.733304953557903
"fixB",12.3536966482225,-0.941935035445309,0.471157996350098,-1.99919144478532,0.0455876438743761,0.0739532889517656
"fixC",21.8233050396456,-0.405443844530959,0.368229924066654,-1.10106164119777,0.270869830273153,0.346660196527703
"fixX",3.37264840838472,-1.32014590254175,0.916841332118815,-1.4398848048123,0.14989999278634,0.20893647161538
"yaaU",11.6434876975074,-0.265812702141674,0.462757389262835,-0.574410497399316,0.565690051003359,0.635642266614324
"kefF",93.7998042714215,-0.360094714737325,0.235293370981956,-1.53040739411625,0.125915919887278,0.180044309580269
"kefC",215.771728996233,-0.404362753435645,0.15360030138727,-2.63256484384188,0.00847428448486602,0.0163656816771222
"folA",1522.64006517996,1.84591135500488,0.26416382379327,6.98775225350106,2.79325062017891e-12,1.86728292374598e-11
"apaH",1292.84669451362,0.932098742592414,0.24141627777072,3.86096062452614,0.000112942105304091,0.000311385350763839
"apaG",1358.9770231426,0.352470744818951,0.165679470762859,2.12742558384588,0.0333847383140138,0.0559578838541074
"rsmA",2232.56861842242,0.502496993189173,0.205437505140993,2.44598469419839,0.014445713290258,0.0263283223249543
"pdxA",1719.54318738554,0.646401710938268,0.342765457672691,1.88584262640467,0.0593161648462383,0.0931333531784212
"surA",7737.87910716702,0.501934198582121,0.242896023817779,2.06645704072403,0.0387853447467345,0.0641539639669794
"lptD",7274.88396074754,0.100948792797273,0.254205534988652,0.397114849610886,0.691282769983602,0.748866870926043
