Geneid,M9-5243T-5,M9-5243T-4,M9-5243T-1,TB-5243T-6,TB-5243T-5,TB-5243T-4
cyoA,7682,6439,6508,4433,4081,4131
ampG,505,398,810,3230,2628,3331
yajG,852,563,1443,5698,5120,6824
bolA,1783,1287,2585,1144,727,932
tig,12835,9784,14206,28221,25821,30229
clpP,8229,5906,7905,9504,9111,10539
clpX,20235,17047,23533,21100,19983,23499
lon,8062,6306,8441,19996,21799,23973
hupB,7921,6919,6477,4428,4721,4684
ppiD,4103,3498,4846,7879,6998,8422
ybaV,30,40,39,103,82,88
fadM,91,84,97,106,107,129
queC,907,802,836,582,465,551
ybaE,281,287,313,120,117,140
cof,503,608,778,209,166,219
decR,130,159,166,212,174,201
mdlA,520,642,729,1017,833,930
mdlB,475,581,603,736,739,952
glnK,7,9,8,116,107,126
amtB,271,308,321,375,345,403
tesB,559,420,567,575,470,558
ybaY,700,578,744,1323,908,1164
atl,190,183,146,57,42,51
ffs,12,5,17,19,20,37
ybaA,54,61,79,56,57,80
pdeB,283,290,297,264,258,293
ylaC,1419,997,563,2795,2731,2753
maa,914,766,1307,1632,1415,1894
hha,2590,1906,3226,2845,2894,3673
tomB,1278,1076,1699,761,719,880
acrB,5659,5058,8477,3987,3892,5164
acrA,2729,2098,3994,3925,3605,4400
acrR,697,483,903,512,456,561
mscK,1248,1177,1826,2334,2087,2651
ybaM,196,189,210,156,131,169
priC,472,431,518,414,352,425
ybaN,1472,1165,1557,226,206,252
apt,1564,950,1933,6259,5135,6594
dnaX,3328,3138,5057,4106,3639,4624
ybaB,2093,1722,2795,2581,2482,2937
recR,1720,1623,2500,1936,1908,2364
htpG,4664,3871,4947,10280,12170,12563
adk,3881,3339,4382,6349,5946,6842
hemH,147,140,181,779,682,988
aes,64,81,71,78,58,95
gsk,1028,855,1198,2760,2405,2952
ybaL,1761,1682,3246,3208,2600,3152
fsr,419,374,360,472,413,434
ushA,848,638,812,1170,898,998
ybaK,316,289,366,510,422,516
chiX,63,58,81,13,9,14
ybaP,543,487,714,458,422,480
ybaQ,2947,2723,3518,543,453,555
copA,5826,4447,4687,6228,5240,6364
glsA,357,151,288,2667,1718,2282
ybaT,636,393,597,5099,3376,4191
cueR,805,785,892,1170,845,1043
ybbJ,492,424,544,808,606,802
qmcA,322,255,392,553,459,497
fetA,116,81,111,373,297,403
fetB,88,65,88,188,155,214
cnoX,1002,821,1233,1055,1199,1247
ybbO,439,380,552,406,341,418
tesA,1405,1390,2196,810,764,869
ybbA,333,328,594,261,262,283
ybbP,464,455,914,385,402,448
rhsD,254,248,276,91,97,129
ybbC,30,29,20,12,7,2
ylbG,67,51,85,81,45,70
selU,235,259,316,635,480,619
allS,19,16,18,14,21,13
allA,33,47,46,28,32,24
allR,2211,2427,3084,1099,940,1147
gcl,105,81,93,49,40,54
hyi,14,10,13,11,5,7
glxR,16,13,12,14,7,12
ybbW,7,3,6,11,6,8
allB,93,85,129,49,48,64
ybbY,112,109,180,127,117,142
glxK,126,132,162,133,136,112
allE,134,93,104,99,73,100
allC,78,38,86,44,46,48
allD,11,3,6,12,5,13
fdrA,10,9,16,6,7,7
ylbE,41,60,63,24,20,39
ylbF,69,55,88,47,28,39
ybcF,53,37,63,19,13,29
purK,1755,915,1551,570,664,734
purE,921,388,1196,493,559,600
lpxH,841,738,1123,2010,1799,2218
ppiB,2759,2249,3307,3594,3270,3971
cysS,1406,1064,1664,3334,2906,3616
ybcI,64,72,124,237,192,275
ybcJ,214,185,244,213,186,225
folD,3533,2515,4678,4238,3809,4742
sfmA,6,11,4,20,11,13
sfmC,6,8,4,8,12,10
sfmD,26,35,37,34,41,34
sfmH,0,1,1,6,4,3
sfmF,15,16,20,10,8,11
fimZ,25,13,16,10,13,10
argU,60,66,95,28,36,42
intD,683,679,795,288,264,321
insE-3,100,94,121,61,52,66
insF-3,168,174,203,247,177,215
emrE,156,161,136,262,231,313
ylcJ,0,1,0,1,3,2
ybcK,19,14,19,35,37,42
ybcL,155,171,221,90,73,91
ybcM,724,631,745,335,266,344
ylcH,4,5,6,3,4,1
ybcN,8,6,6,5,1,4
ninE,0,2,3,1,0,1
ybcO,1,3,0,2,2,5
rusA,3,4,3,1,0,6
ylcG,0,0,0,1,3,0
ybcQ,29,16,12,14,5,6
insH-2,612,545,619,627,523,573
essD,27,25,29,13,15,24
rrrD,63,63,73,37,40,52
rzpD,16,18,17,84,72,85
rzoD,0,0,0,0,0,0
borD,78,88,45,598,636,820
ybcV,141,126,119,64,46,78
ybcW,245,284,191,124,115,122
ylcI,46,72,61,24,19,22
nohD,67,143,92,28,16,21
tfaD,40,75,52,8,8,14
tfaX,32,55,64,2,1,10
appY,1006,882,1373,97,74,144
ompT,1567,1059,810,1463,1487,1594
envY,95,168,181,27,27,25
ybcH,70,102,118,82,83,97
nfrA,612,910,926,1664,1706,2422
nfrB,410,536,596,1967,1875,2189
cusS,615,580,1247,804,710,922
cusR,666,553,1210,768,718,835
cusC,82,146,143,52,34,36
cusF,50,87,66,23,10,18
cusB,90,187,213,56,52,56
cusA,246,371,480,115,103,151
pheP,573,707,1040,2288,2099,2428
ybdG,647,699,748,1030,917,1097
nfsB,859,776,883,654,661,723
ybdF,267,259,271,134,117,144
ybdJ,148,144,190,116,89,104
ybdK,989,921,1371,424,303,367
sokE,42,62,129,21,12,15
hokE,2,6,2,1,1,2
insL-2,662,599,808,1030,1062,1421
entD,5097,4658,5955,76,77,113
fepA,11123,9337,15304,110,113,127
fes,1381,1166,1824,13,21,23
ybdZ,378,325,365,3,9,6
entF,11854,11642,14649,238,244,256
fepE,110,128,183,37,36,51
fepC,960,872,1295,16,49,36
fepG,789,785,1356,60,50,57
fepD,2741,2810,4715,85,91,131
entS,1175,1120,2096,112,111,152
fepB,3229,2634,4926,162,176,157
entC,8710,5730,10449,242,244,333
entE,7770,6388,7462,218,250,297
entB,8837,7650,7377,186,208,219
entA,5604,5621,5507,154,152,204
entH,3111,3418,3150,98,74,68
cstA,2345,2292,2666,205,221,206
ybdD,203,268,347,86,80,61
hcxA,421,543,553,183,169,185
ybdL,823,1311,1066,411,311,265
ybdM,85,100,95,49,41,49
ybdN,37,39,48,25,34,32
ybdO,38,19,43,16,13,26
dsbG,579,454,948,676,604,765
ahpC,22582,19418,32429,41466,36787,55610
ahpF,3862,3073,5497,21686,19207,37435
uspG,977,901,892,5360,4580,4833
ybdR,285,325,344,251,201,321
yldA,31,41,47,38,29,17
rnk,1443,1069,2629,2059,1783,2125
rna,1636,1491,2793,1463,1311,1549
citT,61,89,121,386,377,406
citG,67,67,90,277,269,337
citX,37,52,57,659,512,666
citF,107,108,148,2930,2461,2786
citE,94,85,115,1422,1308,1310
citD,44,37,44,680,608,683
citC,290,430,337,234,216,246
dpiB,264,341,440,213,171,220
dpiA,278,344,439,385,292,342
dcuC,308,249,296,437,442,501
pagP,981,843,1603,2924,2740,3989
cspE,27637,27627,44647,18435,15828,20351
crcB,228,311,312,326,235,324
tatE,276,318,312,343,324,319
lipA,8865,6125,11190,13237,10868,12502
ybeF,134,157,223,150,146,179
lipB,367,425,740,639,687,783
ybeD,2272,2465,4409,2445,2821,3102
dacA,3620,2605,6671,7219,6910,8250
rlpA,4851,4231,8729,2858,2645,3257
mrdB,1044,931,1626,1018,1123,1564
mrdA,1361,1202,2633,4020,3804,4692
rlmH,390,312,695,1102,1067,1177
rsfS,631,493,1081,1428,1340,1670
cobC,192,126,275,273,180,253
nadD,999,888,1661,1035,864,1140
holA,1624,1286,2498,1384,1327,1867
lptE,1463,1485,2123,1136,1066,1473
leuS,13628,13889,18291,17689,16344,20035
ybeL,516,431,724,688,532,597
ybeQ,137,119,183,165,104,145
ybeR,9,3,7,18,15,21
djlB,40,32,68,39,32,33
ybeT,3,2,1,1,4,7
ybeU,12,15,16,19,12,9
djlC,92,91,135,42,29,41
hscC,58,64,112,54,35,56
rihA,438,274,473,957,906,1053
gltL,475,538,638,520,482,605
gltK,589,586,729,657,695,930
gltJ,376,442,559,574,673,937
gltI,2063,1514,1819,2526,2439,3347
insH-3,625,652,789,1336,1115,1387
lnt,2466,2265,4988,6542,6655,8506
ybeX,2695,2386,4345,4272,4146,4999
ybeY,1852,1563,2617,3425,3447,4013
ybeZ,4934,4093,6905,9848,9752,11292
miaB,3527,3788,5866,8426,7817,9135
ubiF,1586,1488,2244,1695,1450,1609
glnX,110,112,176,259,234,327
glnV,88,84,156,260,207,244
metU,143,129,271,250,180,255
glnW,610,516,997,1093,937,1272
glnU,549,390,811,995,994,1175
leuW,780,689,1392,1385,1174,1328
metT,288,255,393,340,213,274
asnB,4831,4122,4704,2255,3431,2508
umpH,1282,1018,1852,1696,1495,1831
nagC,3352,2589,4499,3203,3009,3572
nagA,2318,1889,2898,3076,3017,3644
nagB,313,242,449,559,555,612
nagE,693,629,997,687,700,724
glnS,12496,10324,18593,14159,13525,16915
chiP,45,32,62,77,80,92
chiQ,102,95,120,96,92,117
fur,5398,4580,7841,7309,6731,8673
uof,475,395,717,590,645,734
fldA,4591,3583,6986,7573,6877,8736
ybfE,222,184,404,873,714,980
ybfF,823,655,1271,891,782,862
seqA,4204,3307,5834,4886,4485,5627
pgm,9249,7848,13499,10445,9491,11622
ybfP,63,52,87,83,69,117
potE,159,193,295,95,79,86
speF,75,99,139,33,43,42
ybfK,0,2,1,1,0,0
kdpE,76,66,103,73,70,82
kdpD,717,747,1068,901,746,898
kdpC,123,103,193,168,138,173
kdpB,215,273,386,92,78,84
kdpA,53,74,93,19,17,22
kdpF,1,1,4,0,0,2
ybfA,6071,6028,6474,4241,3880,4382
rhsC,1360,1654,2572,1627,1455,1923
ybfB,114,115,84,21,34,23
ybfC,90,73,55,13,12,22
ybfQ,164,122,94,17,19,24
ybfD,150,121,124,27,34,30
ybgA,1000,826,2018,1284,966,1246
phr,358,354,802,584,481,508
dtpD,978,1160,2811,825,823,987
ybgI,2499,1976,3031,1415,1277,1472
pxpB,1123,935,1504,754,665,735
pxpC,1485,1169,1707,1029,900,1066
pxpA,855,782,1167,836,719,903
nei,416,409,623,935,899,1133
abrB,252,270,510,680,609,723
ybgO,183,179,260,68,72,75
ybgP,28,31,56,25,20,25
ybgQ,57,81,160,40,35,49
ybgD,11,15,21,7,10,10
gltA,12071,10375,13762,5098,4823,4821
ybgU,697,634,810,169,169,107
sdhC,1753,1423,1851,418,457,409
sdhD,875,671,1016,360,407,340
sdhA,2049,2037,2489,1671,1746,1520
sdhB,828,985,919,865,880,819
sucA,3177,3657,2448,1907,1887,1913
sucB,2301,2433,1561,989,922,1010
sucC,1964,1939,1258,855,715,810
sucD,2372,1978,1202,572,493,622
mngR,155,111,201,307,269,342
mngA,32,45,64,23,19,14
mngB,793,825,1199,518,404,558
cydA,96375,106897,213156,35925,31790,37325
cydB,49931,55356,116462,16518,14694,17081
cydX,1554,1761,3251,468,404,446
ybgE,7147,8183,13644,2500,2405,2995
ybgC,1544,1396,2614,2037,1781,2241
tolQ,2100,1878,3999,4606,4003,4842
tolR,919,941,1767,1830,1705,1973
tolA,2523,2497,4248,3185,2953,3553
tolB,10244,9603,17099,6409,6104,7635
pal,17135,15513,22805,7134,6772,8341
cpoB,4077,4165,6434,2171,2007,2332
lysT,1805,1484,2498,3408,2887,3785
valT,804,766,1264,1631,1249,1546
lysW,628,515,932,1058,879,1154
valZ,372,307,682,737,562,713
lysY,265,219,474,576,476,610
lysZ,790,596,1229,1049,804,1021
lysQ,145,149,296,234,157,238
nadA,3997,3843,4546,199,174,214
pnuC,1930,1821,2444,173,119,142
zitB,899,888,1264,387,338,368
ybgS,405,380,592,1759,1298,1655
aroG,35526,26764,68200,7560,6497,7957
gpmA,28743,26324,40523,3929,3430,3606
galM,712,697,1083,695,668,906
galK,97,73,150,93,85,152
galT,812,720,1221,17262,14853,16839
galE,2554,1739,2883,44818,38450,45430
modF,2993,3512,4009,780,698,761
modE,703,648,1135,481,464,539
acrZ,276,271,460,97,88,114
modA,346,478,854,663,600,643
modB,107,171,332,121,92,120
modC,497,645,1460,627,541,646
ybhA,407,500,1089,1193,1112,1259
pgl,2303,1879,3454,2750,2292,2598
ybhD,110,146,327,56,58,70
ybhH,47,110,259,8,3,9
ybhI,50,117,356,7,14,9
ybhJ,301,491,1073,160,151,149
