Geneid,M9-5243T-5,M9-5243T-4,M9-5243T-1,TB-5243T-6,TB-5243T-5,TB-5243T-4
thrL,277,208,227,132,127,175
thrA,84923,42302,47982,11407,5646,10184
thrB,8970,4930,5922,1640,766,1525
thrC,13270,6996,10205,4227,2216,4115
yaaX,94,74,102,157,110,177
yaaA,438,326,455,980,893,1112
yaaJ,124,113,133,281,266,255
talB,9846,8121,10979,11845,10204,12379
mog,562,455,580,1385,1260,1558
satP,258,309,253,480,446,476
yaaW,27,29,43,57,57,65
mbiA,0,0,0,0,0,0
yaaI,41,32,41,44,21,26
dnaK,9955,8665,10146,27590,31188,33329
dnaJ,4121,3807,4258,15132,17446,19180
insL-1,669,672,879,1233,1381,1704
mokC,119,113,117,56,35,36
hokC,0,0,0,0,0,0
sokC,16,14,16,5,3,8
nhaA,917,814,1348,1354,1122,1182
nhaR,1097,978,1493,1332,1077,1286
insB-1,117,90,156,160,130,195
insA-1,108,124,150,203,180,254
rpsT,6531,5970,9325,15300,12998,16578
yaaY,203,162,224,112,109,145
ribF,6763,6845,8136,5028,4502,5406
ileS,21603,22160,25553,12869,12312,14955
lspA,3473,3843,4302,1574,1464,1750
fkpB,3141,2917,3846,1734,1535,1944
ispH,1961,1915,2812,1472,1419,1602
rihC,115,72,108,310,298,322
dapB,1530,1272,1643,900,821,1036
carA,7402,4260,2759,1308,1115,1184
carB,14004,12492,5058,1771,1762,2132
caiF,229,262,316,446,375,435
caiE,14,16,18,40,30,49
caiD,16,11,7,34,20,43
caiC,152,117,154,555,550,621
caiB,146,115,162,677,606,538
caiA,72,61,75,166,140,166
caiT,19,24,27,10,9,21
fixA,21,9,10,8,6,12
fixB,14,16,12,15,6,20
fixC,19,30,17,17,11,25
fixX,7,1,4,2,1,1
yaaU,6,14,13,4,10,10
kefF,79,78,115,165,144,164
kefC,236,193,249,363,297,361
folA,532,517,512,3582,3269,3987
apaH,916,797,1302,1808,1619,1932
apaG,1314,985,1820,1079,930,1165
rsmA,1354,1123,1999,1465,1362,1651
pdxA,1283,1010,1911,1068,933,1243
surA,6262,5901,8061,6173,5560,7183
lptD,6891,5628,8714,7987,6720,8860
djlA,1343,1181,1576,1512,1284,1594
yabP,408,331,418,289,241,321
yabQ,258,224,199,80,73,117
rluA,442,435,469,876,938,1374
rapA,1748,1444,2236,12561,12453,15372
polB,1070,1230,1563,1037,913,1134
araD,15,24,37,22,17,29
araA,93,115,125,76,51,72
araB,39,41,34,19,15,17
araC,191,158,165,59,42,50
yabI,301,375,336,458,320,406
thiQ,91,112,118,226,176,213
thiP,74,58,108,606,501,641
thiB,45,38,51,402,394,394
sgrR,405,348,464,702,647,712
sgrS,637,775,270,91,80,108
sgrT,698,815,297,109,101,108
setA,246,285,282,127,140,107
leuD,5810,6714,3438,154,141,173
leuC,11832,13670,7221,205,167,210
leuB,13299,13744,9025,205,161,212
leuA,25125,21013,22030,241,184,244
leuL,669,572,953,13,10,16
leuO,664,576,619,96,87,115
yabR,4,1,0,0,0,0
ilvI,1526,1223,1321,127,99,120
ilvH,873,787,774,77,63,53
cra,476,341,388,1197,987,1233
mraZ,1066,1026,772,1730,1449,1804
rsmH,1580,1664,1094,2570,2188,2754
ftsL,771,796,421,935,845,1013
ftsI,2040,1997,1321,2157,1961,2581
murE,2214,2370,1524,2046,1770,2158
murF,3261,3422,2245,2835,2560,3024
mraY,1561,1933,1397,1394,1220,1426
murD,1816,2369,1444,1583,1430,1596
ftsW,1494,1869,1255,1185,1004,1168
murG,1609,1924,1183,1635,1481,1694
murC,3937,4347,2350,3877,3539,4102
ddlB,2469,2815,1625,1819,1621,2019
ftsQ,2054,2399,1459,1248,1135,1214
ftsA,3449,3611,2740,2306,2107,2330
ftsZ,11287,11148,8579,8588,7782,8354
lpxC,37611,45497,37154,28485,25324,31635
secM,3330,3161,4680,3893,3393,4413
secA,9468,9056,14202,13064,11905,14353
mutT,230,214,286,247,245,270
yacG,315,278,329,235,192,303
zapD,1331,1285,1494,1563,1357,1705
coaE,791,819,852,455,405,528
yacM,20,11,21,8,7,8
guaC,1043,656,1140,1459,1364,1493
hofC,122,131,194,167,142,190
hofB,335,346,508,232,244,287
ppdD,36,28,53,41,46,59
nadC,1019,999,1633,579,561,611
ampD,659,766,843,511,448,432
ampE,966,855,1203,616,557,637
aroP,1890,1731,3790,564,487,562
pdhR,1288,1006,1185,1760,1521,1675
aceE,69577,61241,49857,113235,111069,139096
aceF,24901,26407,17155,20784,22091,26585
lpd,10986,10042,7502,10187,9759,10006
yacH,149,160,182,105,83,94
acnB,16684,15835,12456,11591,11091,11587
yacL,145,152,99,167,129,146
speD,3314,2480,2243,2329,2303,2968
speE,4580,3306,2911,3394,3171,3875
yacC,1538,1392,2252,589,508,631
cueO,654,543,416,779,729,821
gcd,2887,2357,2880,4569,3823,4416
hpt,916,861,1069,814,822,796
can,3563,2693,3945,1567,1321,1693
yadG,944,907,1452,899,827,1013
yadH,1430,1356,1981,1016,932,1147
yadI,162,127,153,95,91,113
yadE,275,233,308,267,250,313
panD,2063,1873,2715,1590,1317,1541
rpnC,145,163,193,58,64,55
panC,3184,2902,3548,2039,1771,2029
panB,3932,3510,4587,2978,2670,3387
yadC,47,37,43,53,27,51
yadK,17,13,17,9,11,18
yadL,10,5,6,8,15,12
yadM,12,13,9,20,11,21
htrE,45,38,45,20,17,20
yadV,12,7,16,4,4,12
yadN,8,11,6,23,12,32
folK,253,167,281,364,346,495
pcnB,2571,1905,2736,7926,6907,8649
gluQ,132,138,206,511,423,529
dksA,4345,3510,4658,3447,3097,3511
sfsA,1444,1116,1675,1113,881,1010
thpR,93,76,107,95,57,82
hrpB,1020,1100,1181,1169,981,1205
mrcB,2056,2001,2390,2272,2102,2693
fhuA,17993,16752,18649,1430,1337,1781
fhuC,1806,1703,1975,210,194,227
fhuD,577,528,834,87,95,115
fhuB,1458,1549,2149,439,395,509
hemL,3103,2910,3284,5028,4737,5457
clcA,739,629,815,1101,978,1101
yadW,14,17,23,32,29,47
erpA,1776,2147,1971,1167,998,1189
yadS,238,255,254,183,161,208
btuF,444,331,757,561,526,635
mtn,3974,3466,4236,1934,1676,2117
dgt,657,439,655,704,579,667
degP,543,1333,502,2050,1966,2235
cdaR,145,284,157,214,193,203
yaeH,2112,1692,1928,569,533,546
yaeI,174,154,191,94,70,106
dapD,5133,4118,5286,2311,2144,2314
glnD,4947,4451,4361,1594,1448,1795
map,4706,3975,5049,3292,2956,3795
tff,2332,2505,2008,2070,1915,2388
rpsB,41748,45845,34650,36355,34690,40333
tsf,20793,18452,16085,22554,21738,26621
pyrH,3918,3724,4059,4652,4457,5400
frr,8967,8232,11645,8619,7695,9627
dxr,1535,1544,2221,3453,3014,3706
ispU,1429,1289,2592,2321,2034,2402
cdsA,911,891,1437,1446,1257,1407
rseP,1989,1928,2871,2435,2186,2640
bamA,9766,8892,11405,8788,8084,9837
skp,15044,14579,14451,6134,5607,6334
lpxD,10572,10544,12848,8559,7323,8975
fabZ,4885,4615,5151,4182,3640,4542
lpxA,7409,7338,8175,6137,5276,6404
lpxB,2130,1717,2438,2128,2084,2540
rnhB,529,495,715,905,881,1111
dnaE,4596,3847,5866,5097,4599,5856
accA,2003,1601,2520,3048,2714,3084
ldcC,916,781,1050,1555,1203,1480
yaeR,380,289,363,534,384,499
tilS,472,402,585,931,759,909
rof,1392,1263,1167,724,656,749
yaeP,419,384,370,225,216,195
yaeQ,275,246,376,562,420,500
arfB,180,159,240,351,308,326
nlpE,215,229,229,306,249,271
yaeF,135,117,117,126,110,148
proS,5506,4442,6250,9073,8563,10444
trmO,410,309,694,1031,873,1091
rcsF,1041,897,1595,1712,1505,1776
metQ,6116,6227,5042,1876,1631,1897
metI,993,1342,1132,565,487,512
metN,989,1498,1074,693,623,603
gmhB,1158,1039,1331,877,844,989
rrsH,4902,5631,2168,5477,1749,3704
ileV,175,143,210,171,108,128
alaV,150,88,135,146,86,141
rrlH,15182,16135,8247,15053,4812,10636
rrfH,2,2,2,4,1,4
aspU,423,358,412,375,325,365
dkgB,417,368,553,114,98,133
yafC,190,178,195,138,111,146
yafD,2867,2742,3476,627,524,680
yafE,593,564,776,198,180,244
mltD,12929,13442,19786,12081,11809,13906
gloB,1034,656,982,525,511,622
yafS,608,558,819,529,497,583
rnhA,543,531,860,486,444,502
dnaQ,912,873,1092,953,766,890
aspV,112,100,97,58,47,73
yafT,30,26,30,202,178,189
ykfM,4,10,5,27,39,53
yafV,461,425,495,251,214,229
ivy,460,549,287,1405,1262,1394
fadE,386,473,499,166,121,174
lpcA,2061,1717,1940,1115,1008,1156
yafJ,1048,865,1282,633,583,674
yafK,4285,3863,8230,2758,2439,2796
yafQ,439,420,517,333,291,355
dinJ,595,627,703,293,219,256
yafL,39,32,32,32,11,17
rayT,51,29,35,57,25,46
dinB,318,342,260,117,124,139
yafN,193,186,163,93,60,85
yafO,42,28,20,11,16,18
yafP,27,25,25,46,43,45
pepD,4392,3714,4687,3662,3247,3856
gpt,234,180,266,1155,1052,1158
frsA,1858,1754,1810,1961,1600,1994
insB9,65,59,91,50,52,61
insA9,59,38,57,55,56,76
phoE,140,154,126,32,36,29
proB,3021,2874,2833,3008,2523,3031
proA,1063,949,954,1008,937,1096
thrW,145,156,133,161,139,162
ykfI,86,94,83,325,304,323
yafW,17,22,19,82,89,111
ykfH,6,5,5,32,31,27
ykfG,15,25,24,87,78,91
yafX,102,128,196,88,120,131
ykfF,68,89,82,53,59,48
ykfB,428,424,506,158,157,131
yafY,54,64,64,42,34,53
yafZ,17,21,24,43,55,44
ykfA,221,222,231,146,112,131
perR,120,106,146,103,87,140
insI-1,291,264,334,358,294,376
eyeA,36,37,45,55,37,33
ykfC,223,212,211,221,203,212
insH-1,560,484,598,545,490,629
mmuP,180,382,258,34,38,41
mmuM,152,268,225,108,54,69
afuC,59,94,62,101,97,102
insB-2,115,103,157,181,164,190
insA-2,101,85,116,119,122,159
yagB,67,70,75,50,47,55
yagA,11,8,17,10,5,5
yagE,70,92,91,127,109,132
yagF,61,59,61,244,185,233
yagG,19,31,22,41,44,51
yagH,57,84,109,80,89,88
xynR,286,486,431,192,166,219
argF,805,1073,1357,251,173,209
ykgS,66,38,47,37,40,46
insB-3,169,129,205,165,138,153
insA-3,77,62,126,106,106,142
yagJ,254,236,288,94,80,97
yagK,103,84,91,23,25,31
yagL,24,16,12,31,20,25
yagM,20,10,9,20,24,18
ykgV,7,20,15,3,5,6
yagN,611,463,780,144,131,171
intF,691,523,709,330,286,418
yagP,85,83,128,41,33,32
paoD,79,95,97,30,37,33
paoC,138,115,127,86,81,100
paoB,62,59,54,42,28,55
paoA,46,46,74,36,32,44
yagU,591,516,198,246,200,241
ykgJ,68,69,62,27,18,36
ecpE,59,60,74,42,34,33
ecpD,190,198,251,113,124,120
ecpC,125,140,144,57,54,57
ecpB,6,6,10,13,17,27
ecpA,77,82,87,55,39,59
ecpR,8,7,4,13,10,17
ykgL,22,24,23,10,11,15
ykgO,20,10,17,5,15,18
ykgM,25,20,28,19,15,21
ykgR,3,5,6,44,38,39
insE-1,82,81,85,45,39,44
insF-1,162,194,173,269,179,254
rclC,56,27,12,49,50,71
rclB,27,23,12,28,31,35
rclA,57,51,36,55,86,81
rclR,8,8,4,5,6,4
ykgE,18,20,18,304,265,315
ykgF,65,75,50,433,354,497
ykgG,21,28,26,121,90,122
ykgH,2,5,2,2,9,18
betA,118,128,134,463,441,510
betB,194,217,238,546,526,523
betI,128,125,157,250,275,262
betT,253,240,275,288,316,328
yahV,1,1,1,7,3,6
pdeL,64,50,67,439,373,435
yahB,113,94,134,72,56,94
yahC,11,3,2,1,4,1
yahD,37,29,33,44,25,41
yahE,10,16,9,15,12,12
yahF,26,22,18,41,31,39
yahG,32,57,45,36,24,27
yahH,30,34,47,9,7,12
yahI,26,28,29,27,12,19
yahJ,276,308,345,199,171,198
yahK,477,328,487,368,347,352
yahL,7,8,6,14,5,9
yahM,11,9,8,32,28,35
yahN,12,14,10,72,58,59
yahO,333,207,285,343,256,281
prpR,58,44,39,43,24,28
prpB,36,59,61,19,22,24
prpC,21,24,27,11,13,15
prpD,28,47,52,34,29,26
prpE,111,151,131,42,28,47
codB,2030,1280,640,263,243,287
codA,935,766,579,235,213,229
cynR,72,54,70,77,88,95
cynT,188,327,469,363,281,445
cynS,337,531,742,257,234,375
cynX,575,1098,1455,433,426,615
lacA,47,61,81,164,122,119
lacY,49,42,40,152,120,91
lacZ,100,85,94,1207,1041,914
lacI,519,410,618,590,447,536
mhpR,40,34,30,14,19,12
mhpA,20,20,27,15,13,13
mhpB,16,21,17,8,7,17
mhpC,28,27,31,11,9,18
mhpD,25,16,15,7,7,8
mhpF,42,36,43,17,22,32
mhpE,34,26,41,27,12,28
mhpT,104,139,159,39,29,42
yaiL,556,531,725,659,589,591
frmB,745,664,920,1024,1095,1178
frmA,322,326,418,885,955,903
frmR,118,112,132,287,335,310
yaiO,90,81,82,48,31,40
insC-1,131,137,132,98,75,91
insD-1,136,145,148,72,101,124
yaiP,35,36,19,29,15,28
ykiC,0,0,0,0,0,1
yaiS,3,2,1,4,2,3
tauA,512,1251,163,9,18,19
tauB,184,623,51,18,10,15
tauC,105,389,37,11,10,18
tauD,299,825,167,122,111,133
hemB,2364,1720,2170,3492,3147,3703
insF-2,192,193,233,261,161,249
insE-2,119,90,117,65,62,66
iprA,8,8,8,11,12,14
ampH,519,534,636,472,400,528
sbmA,574,588,658,573,525,620
yaiW,247,276,251,228,190,250
yaiY,148,182,86,129,140,147
yaiZ,240,169,206,126,109,127
ddlA,1850,1525,1875,2075,1890,2374
iraP,157,137,86,36,29,39
phoA,263,297,233,121,105,116
psiF,418,368,438,156,105,140
dgcC,57,62,80,177,123,156
proC,630,457,694,1633,1375,1663
yaiI,667,708,927,1217,1113,1234
aroL,790,924,1697,1691,1444,1660
yaiA,955,928,1592,1017,815,1011
aroM,697,624,1128,1505,1261,1516
ppnP,322,280,444,401,376,398
ykiD,65,73,53,74,54,66
rdgC,636,479,743,1435,1257,1396
mak,76,65,79,122,87,102
araJ,1026,1094,1223,294,283,310
sbcC,995,748,951,1339,1251,1780
sbcD,594,516,674,987,886,1106
phoB,181,298,205,180,179,148
phoR,410,559,447,336,277,310
brnQ,5423,5768,9311,3749,3146,3901
proY,1220,1659,2091,1961,1675,2141
malZ,1037,984,1047,572,529,662
acpH,232,211,257,177,161,184
queA,1052,811,1969,4294,3853,4751
tgt,3365,2788,5522,7124,6669,8588
yajC,3574,2858,4027,4099,3901,4674
secD,5200,4345,6727,8142,7888,10181
secF,3192,3249,4397,2933,2691,3579
yajD,320,323,366,237,267,314
tsx,1269,699,882,950,1025,971
yajI,160,160,146,249,217,233
nrdR,923,804,1003,790,677,784
ribD,3117,2859,3434,2935,2453,2899
ribE,1309,1074,1845,2209,2040,2336
nusB,1714,1325,2443,3836,3766,4357
thiL,570,478,686,1296,1246,1417
pgpA,1419,1602,1791,740,685,774
yajO,1117,914,1290,716,591,722
dxs,3368,2801,4244,5420,5019,5998
ispA,2472,2031,3549,4254,4005,4886
xseB,755,672,1101,1218,1244,1332
thiI,2300,2020,3633,5912,5705,7083
yajL,642,500,515,525,447,573
panE,1779,1503,1457,1400,1162,1421
yajQ,734,636,539,1107,950,995
yajR,266,228,296,588,545,606
cyoE,5885,7256,4409,818,817,1122
cyoD,2773,3356,2200,555,723,1157
cyoC,4208,5089,3855,2238,2472,3474
cyoB,13094,13346,11976,10094,9062,10908
