"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"thrL",138.525948178433,0.249205251579688,0.22770900937022,1.09440224727569,0.273778598765794,0.325256312387199
"thrA",26604.4247408873,-3.42688896810799,0.371412819690782,-9.22663081732349,2.7927821259544e-20,1.27932694553094e-19
"thrB",3381.77194181383,-3.45882678649159,0.394884388289144,-8.75908718872663,1.96837826227904e-18,8.39423995946305e-18
"thrC",5997.18649222959,-2.98050825719301,0.386222840394161,-7.71706886664509,1.1903534456325e-14,4.22698507147406e-14
"yaaX",116.708956439253,0.129013390238355,0.203042612606005,0.635400562386869,0.525167201396071,0.575756702447986
"yaaA",942.440430987293,1.19075420331418,0.172455913016087,6.90468759516008,5.03140284015862e-12,1.56081384945553e-11
"yaaJ",226.317251284968,1.25209103103535,0.170482607457418,7.34439160515592,2.06697123893168e-13,6.89032195294569e-13
"talB",11452.9467160976,0.257064887552428,0.0861681319182891,2.98329419275557,0.00285163746899309,0.00475734481549469
"mog",1151.80381777234,1.54036899506429,0.108287964916381,14.2247478402032,6.43358318258224e-46,6.37214536119902e-45
"satP",352.444207142168,1.02667645115847,0.162808461365773,6.30603865760939,2.86267563935537e-10,8.23449920959521e-10
"yaaW",40.3530567502642,1.09983714428633,0.335715886119692,3.27609502486934,0.00105253140967806,0.00185977665027333
"yaaI",32.7105386664699,-0.167044952215172,0.306158723804802,-0.545615523017645,0.58533025166348,0.633914792493173
"dnaK",16317.0764024033,1.85001898430309,0.312107125515779,5.92751280909015,3.07557366130236e-09,8.33239448801333e-09
"dnaJ",9015.06814922819,2.13797745874144,0.258080923461211,8.28413596041232,1.18969635735337e-16,4.62173913524487e-16
"insL-1",1164.95286389127,1.27606884640217,0.229947089618634,5.54940203208715,2.86648323318318e-08,7.26466497593727e-08
"mokC",73.0182507786061,-0.801619252249385,0.284140989420688,-2.82120243856312,0.00478440003934502,0.00771256510741336
"sokC",10.356438303249,-1.81200753354315,0.572807165622281,-3.16338140004698,0.00155947878242176,0.00269828607710809
"nhaA",906.330248770198,-0.451536235070613,0.120457159609725,-3.74852135426044,0.00017788019450086,0.000339045571834683
"nhaR",1043.74198720815,-0.751758835681422,0.128616769118956,-5.84495195168627,5.06714502797916e-09,1.35543047293438e-08
"insB-1",143.748942826647,-0.274518631988167,0.172916509834881,-1.58757907067583,0.112381553961796,0.144708691058326
"insA-1",198.596926317542,0.872566855666947,0.15773357549964,5.53190310244971,3.16774892115125e-08,8.00971288848594e-08
"rpsT",14001.8414478264,1.05638555466107,0.0914291344025725,11.5541458591272,7.03433784263591e-31,4.6253295599246e-30
"yaaY",165.231782760519,-0.126448758756113,0.172312695880801,-0.733833094014065,0.463050468118923,0.517565763165864
"ribF",6444.9808801097,-0.33481131578389,0.108716685461686,-3.0796681701806,0.00207231339710693,0.00352678227365225
"ileS",19753.599723992,-0.355056644842773,0.082392339350969,-4.30934049985313,1.63742100858546e-05,3.410725003484e-05
"lspA",3109.6334705481,-0.581007300164304,0.116760063246233,-4.97607901204224,6.4885170640144e-07,1.49674268992393e-06
"fkpB",3090.12323749546,-0.31584396577686,0.145056598668853,-2.17738433601283,0.0294519034109978,0.0422377023350521
"ispH",2322.30875694773,-0.312119030541633,0.127755695331858,-2.44309288702061,0.0145619887859754,0.0219668639836737
