"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"thrL",188.758514429637,-0.656201714214366,0.207151567569089,-3.16773714007986,0.00153630358026837,0.0028231307205265
"thrA",33083.4425778123,-2.64885262989981,0.297979631553147,-8.88937480757764,6.14537023708718e-19,3.58382384937433e-18
"thrB",3872.93566970627,-2.29626763605088,0.283294310899473,-8.10559036205182,5.2490014740976e-16,2.61548346507702e-15
"thrC",6677.61173542041,-1.47940870734332,0.260633790937301,-5.67619686619688,1.37722273618034e-08,4.24015335144685e-08
"yaaX",117.858617592509,0.780811255338911,0.214154480170836,3.64601877446617,0.000266334525901799,0.000540018238500668
"yaaA",700.787548332736,1.36462544701775,0.148984316426222,9.15952416839469,5.21266524941768e-20,3.21331075945647e-19
"yaaJ",196.380454018892,1.19282361521467,0.182797767128572,6.52537300620137,6.78325102289849e-11,2.48223747590927e-10
"talB",10477.6757447839,0.323858760027729,0.117836730380027,2.74836851789145,0.00598926508837746,0.0101372358421524
"mog",968.32741267025,1.46576932379852,0.134283674608596,10.9154692710851,9.72258786250528e-28,8.42471410538783e-27
"satP",372.1042435223,0.832211602619187,0.190341206605665,4.37220934688778,1.22995501030036e-05,2.89175855877359e-05
"yaaW",46.1637789641821,0.935274166231318,0.28417709212696,3.2911666427126,0.000997727905018668,0.00188433121472169
"yaaI",33.7043801476884,-0.258977714917244,0.350780881156109,-0.73828913954404,0.460338764701646,0.520999740294578
"dnaK",20316.0978825432,1.75309455638265,0.146561831485456,11.9614673111984,5.6553671089317e-33,5.93651964520431e-32
"dnaJ",10769.5728541942,2.15808088869723,0.150696814557863,14.3206802016946,1.62524650974332e-46,2.55177593025511e-45
"insL-1",1087.8204381138,1.03629570106742,0.159432039828496,6.49992123403918,8.03620764827060e-11,2.9252008156948e-10
"mokC",78.1330096388617,-1.39408240471272,0.26246619658967,-5.31147409771849,1.08742028464099e-07,3.11474697955118e-07
"sokC",10.0856730831286,-1.46864416303924,0.581791391675597,-2.52434839025282,0.0115912991029172,0.0187385301719498
"nhaA",1111.21173310497,0.340158321624837,0.170489169215079,1.99519021173546,0.0460221382038446,0.0667266518393548
"nhaR",1195.16756567001,0.132397173563786,0.144692539608669,0.915024187991052,0.360178932166914,0.422012273396305
"insB-1",139.350013793479,0.494132044132792,0.211374529404635,2.33770854759361,0.0194023724646311,0.0301881633688826
"insA-1",168.781532959371,0.805247085638438,0.188760743641552,4.26596690659137,1.99038284511975e-05,4.54956443776647e-05
"rpsT",11063.4205641355,1.12215574555564,0.142797221810936,7.85838639803077,3.89113393896655e-15,1.86146173069832e-14
"yaaY",156.441211921589,-0.61470538761487,0.18902732594123,-3.25193928737048,0.00114620502360359,0.00214199250087467
"ribF",6033.58094919393,-0.471463737664628,0.108842449802104,-4.33161637322421,1.48018678501603e-05,3.45229813233137e-05
"ileS",17981.387408538,-0.719379130842416,0.116279679480168,-6.18662808547823,6.14647457138446e-10,2.10654361709576e-09
"lspA",2686.60602525795,-1.21016905843887,0.127194760858895,-9.51429956915746,1.8294112239056e-21,1.22204669756894e-20
"fkpB",2472.39741625255,-0.853012137002302,0.115115229674596,-7.4100719723495,1.26230892026586e-13,5.4949324325317e-13
"ispH",1831.23057993189,-0.488532108382916,0.142389971101937,-3.43094464169231,0.000601483333010293,0.00116882039782078
"rihC",205.366520048988,1.73434550323978,0.200173320425935,8.66421908548745,4.54618386128844e-18,2.55132579017929e-17
"dapB",1181.89627219614,-0.618926058535001,0.128869446668816,-4.80273699106967,1.5651140664902e-06,4.01365454649953e-06
"carA",2996.62100139877,-1.96110156020132,0.325699192864113,-6.02120485149476,1.73123481111075e-09,5.76137381885951e-09
"carB",6230.45999588591,-2.45794023006958,0.344596350735036,-7.13280980726206,9.83404021827945e-13,4.0414165281833e-12
"caiF",342.553080101368,0.711685432243666,0.157415980135973,4.52104946161709,6.15338071395917e-06,1.48538244041301e-05
"caiE",27.6998291783847,1.37117636467821,0.361547847353218,3.79251702012937,0.000149128025895526,0.000312607284408613
"caiD",21.7543500446679,1.54550252499213,0.45809648801996,3.3737489053284,0.000741519735706206,0.00142436920999543
"caiC",360.99685317304,2.10317106628931,0.164563051946254,12.7803358130244,2.11155849487255e-37,2.55753821214123e-36
"caiB",378.611998384629,2.19144218946026,0.191929997072963,11.4179243624288,3.40263423884003e-30,3.23308918797369e-29
"caiA",113.444710630227,1.25224354112333,0.201651943655699,6.20992547069823,5.30097364071415e-10,1.82471366233452e-09
"caiT",17.9243419762389,-0.751592156321395,0.447689421217461,-1.67882491901973,0.0931861705846029,0.127399897318717
"fixA",10.8651520650149,-0.575795120207573,0.580018667237276,-0.9927182567247,0.320847275345243,0.380993176993672
"fixB",13.6330861603733,-0.00397581590323457,0.514777031280735,-0.00772337470718726,0.993837699827966,0.994740204095881
"fixC",19.715257639537,-0.288063548952438,0.454551915639031,-0.633730799588567,0.526256521077185,0.582486380328654
"fixX",2.59561063464901,-1.50721952943416,1.17707513150222,-1.28047861100472,0.200376862434013,0.252175585492999
"yaaU",9.45210218574312,-0.382510092623754,0.616671901798157,-0.620281370869,0.535072557543302,0.590465531562102
"kefF",123.628068093972,0.878630276507136,0.199702566065943,4.39969447471699,1.08403391753606e-05,2.56840538243389e-05
"kefC",281.874670667052,0.660937395459599,0.156533383620335,4.22234145952326,2.4177745713284e-05,5.47651280829872e-05
"folA",2087.56188534047,2.85578203222195,0.14164285928955,20.1618496445633,2.11814183185166e-90,7.29567477208405e-89
"apaH",1387.72641364668,0.916177031309251,0.152524084206479,6.00676959363992,1.89256164373735e-09,6.27929393054579e-09
"apaG",1190.90269945725,-0.287172374339774,0.17732998684915,-1.61942364877105,0.105356141965145,0.142552835347389
"rsmA",1469.10290707051,0.0913703012868099,0.171077278559963,0.534087881546375,0.593280733628849,0.643742886991256
"pdxA",1214.12832111945,-0.284827842364265,0.185823232609925,-1.53278919090902,0.125327804751767,0.166389191035169
