Geneid,M9-41T-3,M9-41T-4,M9-41T-5,TB-41T-4,TB-41T-5,TB-41T-6
wzzE,2603,1539,2315,2937,3692,3366
wecB,1123,616,1075,1911,2505,2290
wecC,1391,866,1182,2280,3005,2614
rffG,1472,1155,1376,2882,3526,3213
rffH,947,827,799,1536,1988,1601
rffC,400,390,386,649,834,758
wecE,595,800,604,840,1030,966
wzxE,847,859,739,780,835,817
rffT,843,717,739,656,728,753
wzyE,367,296,313,332,358,352
rffM,428,328,347,247,285,258
yifK,1229,782,1133,413,580,603
argX,159,65,93,39,40,51
hisR,232,48,163,38,61,61
leuT,1115,221,718,234,288,298
proM,196,43,153,39,58,74
aslB,141,109,158,180,211,226
aslA,211,235,173,203,253,240
glmZ,3278,2970,1917,1642,2191,2111
hemY,2822,2184,2455,2050,2589,2449
hemX,2510,1904,2246,1783,2062,1989
hemD,1265,1070,1294,779,1090,948
hemC,3084,3487,3506,2424,2976,2768
cyaA,13672,13343,13876,7524,8331,8321
cyaY,443,446,472,162,182,141
yzcX,79,84,107,50,63,59
yifL,455,356,384,396,527,462
dapF,2278,1728,2214,1558,1886,1801
yigA,1556,1110,1612,985,1162,1149
xerC,1146,643,1082,678,891,857
yigB,628,353,564,479,556,567
uvrD,5364,4117,5193,3971,4989,4880
yigE,185,172,172,152,166,189
corA,1730,849,1221,823,936,896
yigF,46,31,39,10,20,27
yigG,5,9,9,6,8,14
rarD,190,166,212,229,278,256
yigI,53,74,73,10,16,15
pldA,1184,448,1018,1024,1183,1160
recQ,1790,568,1635,1459,1773,1826
rhtC,944,612,914,141,186,149
rhtB,915,643,838,65,81,87
pldB,2387,2085,2560,1297,1545,1569
yigL,848,637,954,553,657,616
bioP,1051,463,1024,127,146,141
metR,440,410,596,239,254,242
metE,12675,75590,41114,2307,1799,1766
ysgA,2453,1881,2053,215,222,253
udp,1582,3957,1764,5840,7132,5776
rmuC,630,937,799,1066,1212,1075
ubiE,4045,3568,4172,3520,4249,4050
ubiJ,796,562,696,515,746,638
esrE,0,0,0,0,0,0
ubiB,2546,1773,2323,2970,3724,3425
tatA,1756,1747,1647,1525,1764,1526
tatB,2087,1929,2197,1771,2180,2130
tatC,1959,943,2017,2159,2433,2332
tatD,912,460,798,976,1339,1304
rfaH,568,410,519,407,544,558
ubiD,4030,5467,4475,3839,5215,4906
fre,3048,3522,3072,1844,2357,2133
fadA,487,438,554,149,214,188
fadB,223,1549,1061,54,84,102
pepQ,5515,5385,5804,3788,4732,4262
yigZ,1139,943,1052,747,928,842
trkH,1019,637,877,743,914,808
hemG,1028,975,995,535,640,662
rrsA,1797,3983,2848,4148,4972,1662
ileT,283,165,211,113,122,121
alaT,312,104,181,91,103,108
rrlA,6025,12648,9310,12834,14117,5526
rrfA,2,1,4,2,2,1
mobB,100,89,113,53,72,56
mobA,298,353,318,130,151,138
yihD,379,1403,556,669,834,729
srkA,1438,744,1345,2211,2435,2572
dsbA,1575,826,1402,2738,3051,3184
yihF,149,149,105,301,460,473
yihG,235,129,211,250,362,321
polA,3943,4012,4177,3334,4465,4071
spf,79,110,87,64,84,87
yihA,1168,758,1321,845,990,940
csrC,6513,17794,3284,3011,3591,3279
yihI,1275,1150,1094,621,691,672
hemN,1148,1143,1079,936,1064,983
yshB,359,414,327,229,281,294
glnG,1631,4335,2329,4445,5472,5177
glnL,1131,1871,1550,3544,4361,4241
glnA,12706,21817,20778,41636,47102,45266
bipA,16006,7346,15721,24568,28670,27829
yihL,94,100,110,42,50,52
yihM,94,71,146,34,43,36
yihN,10,14,24,11,19,7
ompL,6,11,9,6,4,7
yihO,26,32,17,19,22,20
yihP,16,23,23,14,24,17
yihQ,32,48,55,27,44,42
yihR,18,10,3,2,2,6
yihS,182,122,167,48,59,45
yihT,54,42,66,27,29,33
yihU,57,71,68,42,50,51
yihV,47,42,24,19,21,20
yihW,311,325,374,170,226,217
yihX,687,1199,699,348,445,348
yihY,420,533,419,248,325,289
dtd,903,754,866,293,350,311
yiiD,935,655,854,203,291,275
yiiE,2,4,4,2,2,1
yiiF,38,44,36,13,15,23
fdhE,2253,1893,2618,5071,6471,5972
fdoI,626,662,868,3665,4772,4414
fdoH,501,681,906,4196,5562,5035
fdoG,1595,4034,3174,10589,14230,13174
fdhD,617,544,553,352,514,504
yiiG,15,23,18,34,30,48
frvR,30,40,27,27,34,36
frvX,35,21,32,19,31,35
frvB,14,13,15,13,17,10
frvA,7,7,11,1,4,3
rhaM,15,14,7,6,5,7
rhaD,57,52,57,27,29,26
rhaA,60,23,45,18,15,14
rhaB,42,32,30,18,16,20
rhaS,17,24,27,10,5,12
rhaR,102,127,95,39,31,46
rhaT,67,58,56,9,35,23
sodA,13784,5412,13694,357,652,583
kdgT,107,118,113,54,45,48
yiiM,659,549,530,346,469,535
cpxA,3282,2331,3032,4172,5216,5044
cpxR,2572,2300,2634,3033,3723,3664
cpxP,3878,3758,5839,7056,8466,8942
cpxQ,11,1,7,5,16,17
fieF,3326,3119,3450,1253,1601,1657
pfkA,10331,11636,11022,6511,7585,7317
sbp,92,2354,429,77,102,123
cdh,222,202,187,319,391,420
tpiA,10834,9346,11458,9831,10778,10110
yiiQ,257,65,268,134,144,149
yiiR,315,248,300,78,107,87
yiiS,119,527,156,71,103,89
uspD,605,2213,710,336,420,388
fpr,1542,899,1283,686,819,784
glpX,335,252,336,628,745,688
glpK,576,3894,1153,5393,8889,7231
glpF,209,4819,1090,1979,3544,2953
zapB,4612,5221,5070,3273,4212,3863
rraA,1212,1978,1269,1475,2027,1843
menA,685,509,586,1162,1707,1663
hslU,3738,12264,3946,8643,13606,12547
hslV,1749,6159,1891,3439,5574,5028
ftsN,2396,1223,2306,1370,1568,1500
cytR,735,447,1022,575,712,616
priA,2143,891,1965,1282,1453,1517
rpmE,8279,4525,7823,16847,20378,21149
yiiX,151,182,151,214,261,243
metJ,860,1071,968,1259,1229,1294
metB,369,900,623,178,241,207
metL,2166,3495,3055,1539,1966,1932
metF,335,2791,1430,380,311,312
katG,1475,1615,1852,14091,7157,7151
yijE,541,267,448,829,490,483
yijF,47,12,45,44,41,32
gldA,87,616,152,399,385,309
fsaB,66,79,48,55,56,76
ptsA,34,68,31,47,74,62
frwC,13,41,28,8,16,19
frwB,12,14,19,9,5,5
pflD,197,199,207,89,128,100
pflC,57,64,64,21,23,35
frwD,36,37,43,10,7,22
yijO,353,350,368,177,204,211
eptC,1648,1075,1696,771,889,860
ppc,16554,11869,19496,3275,4377,3977
argE,2300,1573,2661,394,571,551
argC,3238,2926,4442,4304,5599,5319
argB,2505,2075,2777,2388,3367,2982
argH,2461,2485,2587,1971,2799,2452
oxyS,36,25,29,95,28,29
oxyR,5973,1685,4205,737,857,808
sthA,3695,3618,4467,1797,2355,2427
fabR,1253,1235,1352,2011,2508,2303
yijD,1590,1791,2088,2485,3011,3011
trmA,2708,1987,2498,2691,3091,2995
btuB,2914,1563,4081,2551,3063,2777
murI,1811,1706,1842,1523,1813,1621
rrsB,1955,4042,2907,4303,5078,1679
gltT,4238,1311,2659,1141,1406,1419
rrlB,5890,12284,9225,12461,13897,5527
rrfB,3,1,1,2,1,2
murB,2951,1850,3014,1506,1801,1629
birA,849,528,827,407,513,471
coaA,1431,499,1064,581,654,726
thrU,462,152,391,97,113,113
tyrU,2252,424,1735,578,763,829
glyT,446,88,330,347,433,420
thrT,1345,318,1128,899,1158,1198
tufB,23766,16284,26259,26621,30307,29882
secE,5381,2904,4435,4655,5426,5362
nusG,5664,3156,4881,6276,7356,7105
rplK,23996,12488,20205,46860,58161,56578
rplA,40237,22855,35917,78626,100606,94893
rplJ,56307,44276,55305,95219,118323,116612
rplL,22785,18838,21166,38471,46620,46277
rpoB,62719,80748,76241,131747,177413,163977
rpoC,58005,92844,71033,77846,104076,91391
yjaZ,151,234,165,101,134,122
sroH,21,52,18,17,13,14
thiH,102,158,104,409,461,483
thiG,62,90,47,226,286,242
thiS,9,18,5,81,95,77
thiF,57,63,53,316,446,357
thiE,39,71,30,299,337,289
thiC,581,567,450,1213,1251,1282
rsd,2366,2742,2675,365,516,471
nudC,1638,819,1450,533,644,659
hemE,3099,2212,2988,1580,1901,1867
nfi,1224,750,1199,669,916,823
yjaG,588,257,492,482,569,557
hupA,7866,6740,9689,3820,4554,4568
yjaH,325,156,290,479,593,533
zraP,73,163,63,900,1293,1118
zraS,145,173,144,433,542,480
zraR,202,197,190,244,336,265
purD,2496,1133,2441,287,350,328
purH,3616,1005,3252,232,354,318
rrsE,1883,4010,2807,4253,5080,1625
gltV,338,127,213,96,121,111
rrlE,5991,12187,9123,12662,13743,5602
rrfE,0,4,5,0,2,1
yjaA,55,33,49,49,68,69
yjaB,22,13,14,31,51,33
metA,251,696,543,151,186,190
aceB,11329,13941,18720,1284,2176,2146
aceA,13072,10403,21459,1784,2684,2705
aceK,4446,3265,6472,822,1152,1256
arpA,90,80,131,98,78,135
iclR,1630,842,1535,1008,1286,1286
metH,6513,8571,8828,2002,2567,2392
yjbB,222,246,218,279,361,334
pepE,170,349,213,984,1068,988
rluF,948,796,980,400,472,478
yjbD,575,498,462,149,175,151
lysC,2566,3564,3785,538,659,634
pgi,10450,14191,10715,9726,10723,10722
yjbE,255,134,392,19,31,20
yjbF,6,7,10,7,9,14
yjbG,9,10,15,8,10,7
yjbH,67,59,71,17,32,15
yjbT,65,67,87,6,8,7
psiE,951,1298,711,42,42,44
xylE,321,439,275,17,27,34
malG,177,248,862,264,387,331
malF,388,1227,2017,581,866,706
malE,1104,6254,7859,1654,2271,1851
malK,244,2414,2117,209,358,256
lamB,658,1932,4993,988,1275,1083
malM,481,568,2602,545,694,588
ubiC,333,618,354,154,218,199
ubiA,515,966,638,255,368,307
plsB,4481,2673,4589,6225,7479,7232
dgkA,589,474,568,458,501,504
lexA,3055,2538,2535,2210,2613,2546
dinF,914,749,793,973,1191,1154
yjbJ,1405,2207,846,261,343,339
zur,645,666,595,434,560,475
yjbL,3,1,7,0,1,0
yjbM,20,8,10,4,1,11
dusA,1973,677,1821,1382,1634,1667
pspG,1175,252,401,138,225,176
qorA,1259,2041,1078,316,430,349
dnaB,2057,1034,2207,1465,1845,1895
alr,1932,1185,1751,1630,1867,1906
tyrB,3070,2219,2801,805,1068,910
yjbS,2,3,1,1,0,3
aphA,563,1247,767,967,1339,1115
yjbQ,1215,2576,1422,652,840,814
yjbR,367,695,372,189,204,208
uvrA,8004,8662,7845,7644,9063,8628
ssb,3185,3336,3461,1016,1240,1206
yjcB,1391,3231,738,968,985,1068
pdeC,108,69,70,8,25,28
soxS,284,230,304,65,97,117
soxR,79,52,77,34,50,46
ryjA,90,117,71,29,17,29
ghxP,1567,402,1707,83,101,85
yjcE,392,682,409,309,400,343
yjcF,11,8,6,3,1,4
actP,171,116,389,36,75,59
yjcH,56,54,118,12,13,11
acs,376,2672,1432,37,72,51
nrfA,197,244,233,2340,2754,2468
nrfB,58,44,57,793,954,757
nrfC,9,20,15,349,399,383
nrfD,48,29,32,562,705,557
nrfE,29,20,26,132,165,142
nrfF,12,15,7,33,36,35
nrfG,52,40,48,76,117,117
gltP,1669,1448,1323,1334,1850,1784
yjcO,276,359,229,136,133,128
fdhF,164,1762,204,6837,6486,6014
mdtP,20,19,25,14,33,22
mdtO,135,91,120,54,54,38
mdtN,47,43,49,14,29,24
ytcA,5,2,3,0,0,1
yjcS,8,8,1,4,3,5
alsK,127,100,197,53,68,49
alsE,31,21,34,21,18,16
alsC,82,91,92,41,49,52
alsA,36,46,54,19,34,18
alsB,119,127,201,86,115,115
alsR,399,569,579,235,291,244
rpiB,119,271,254,31,37,33
yjdP,137,321,202,99,117,108
phnP,345,335,310,137,182,152
phnO,162,110,131,50,37,52
phnN,44,31,41,20,17,16
phnM,62,37,35,23,33,26
phnL,82,88,62,47,60,52
phnK,28,24,24,11,25,19
phnJ,25,14,22,11,13,16
phnI,15,4,16,14,8,15
phnH,14,7,15,8,9,17
phnG,19,5,18,6,6,6
phnF,18,5,16,10,9,9
phnD,17,14,10,6,7,7
phnC,15,1,17,1,6,4
yjdN,202,199,83,8,13,11
yjdM,133,390,145,1136,1263,1387
crfC,399,445,414,91,118,105
yjcZ,139,112,154,36,37,35
proP,8167,13101,6217,25074,29762,29438
pmrR,307,606,266,813,923,957
basS,347,284,340,253,349,364
basR,332,353,312,183,267,275
eptA,55,46,44,30,34,31
adiC,85,441,55,112,165,163
adiY,34,276,40,165,186,205
adiA,166,265,158,104,125,120
melR,194,1219,715,201,281,272
melA,128,170,138,693,957,839
melB,316,308,297,467,597,580
yjdF,222,202,205,105,135,103
fumB,131,922,241,3622,4368,3804
dcuB,150,2001,237,2088,2381,2151
dcuR,483,895,534,618,814,756
dcuS,442,565,530,604,750,731
yjdI,39,93,32,11,11,18
yjdJ,241,579,191,47,69,67
ghoS,9,12,14,26,35,40
ghoT,2,4,2,8,31,21
lysU,473,1039,525,4166,4048,4157
dtpC,80,109,88,55,72,58
cadA,134,98,143,518,515,518
cadB,24,17,33,221,195,210
cadC,526,300,475,359,358,383
pheU,49,30,29,7,5,11
yjdC,2040,1441,1865,503,588,592
dsbD,1253,571,1333,578,667,684
cutA,915,748,855,242,279,266
dcuA,4938,4343,5585,7540,9799,8285
aspA,2277,6430,5149,31402,44286,36424
fxsA,475,946,413,284,356,372
yjeH,1313,1036,1173,171,197,202
groS,1742,2551,1766,2484,3688,3447
groL,10337,19965,12075,16584,26197,24782
yjeI,921,704,837,268,309,308
yjeJ,267,243,273,152,164,202
epmB,1069,308,974,641,787,756
efp,4575,2290,4805,6184,6852,6967
ecnA,133,52,87,265,289,297
ecnB,665,674,409,301,303,307
gdx,217,206,105,85,85,92
blc,715,1073,351,89,96,97
ampC,187,156,165,512,573,515
frdD,154,1256,233,4704,5543,4986
frdC,202,1805,360,6941,7565,7306
frdB,431,4029,840,16169,19582,17479
frdA,647,5512,1315,19419,23122,20601
epmA,178,130,111,437,486,421
yjeM,86,74,72,511,727,619
yjeN,35,12,31,59,59,49
yjeO,112,61,120,64,85,98
mscM,1362,1160,1419,1542,1898,1973
psd,4353,3169,4154,4200,4955,4936
rsgA,4958,3401,4178,3737,4553,4371
orn,990,450,857,580,632,677
glyV,1352,1061,1265,368,434,535
glyX,730,539,698,238,308,316
glyY,332,209,316,53,72,84
yjeV,21,15,9,9,9,7
queG,594,386,487,325,371,377
nnr,1416,1241,1144,442,602,553
tsaE,401,350,375,209,230,230
amiB,2894,2278,2607,1886,2182,2219
mutL,3095,2398,2901,3567,4651,4499
miaA,9461,11622,8018,12483,16795,15558
hfq,11098,11291,10473,8862,10339,10277
hflX,11107,8968,10845,11861,14415,14017
hflK,12143,7755,10255,19499,25393,23435
hflC,2946,1858,2520,4965,6533,5994
yjeT,69,44,41,78,112,109
purA,25067,20067,26097,22701,24824,24906
nsrR,1214,863,1173,1279,1455,1595
rnr,8485,9557,7444,17776,22743,21139
rlmB,945,746,828,1821,2205,2152
yjfI,3,4,5,9,14,15
yjfJ,6,9,6,23,14,23
yjfK,9,7,6,9,17,20
yjfL,4,9,7,10,14,8
yjfM,17,8,7,25,27,28
yjfC,42,28,31,18,28,18
aidB,803,1918,529,131,151,113
yjfN,246,2695,604,240,433,286
bsmA,150,4359,692,513,900,756
yjfP,330,295,304,68,104,75
ulaR,229,199,227,124,172,153
ulaG,56,62,51,65,74,60
ulaA,51,56,44,41,57,73
ulaB,9,7,20,20,25,29
ulaC,19,17,19,12,16,13
ulaD,67,76,82,60,55,61
ulaE,105,75,103,67,86,81
ulaF,91,72,92,74,79,75
yjfY,115,197,56,23,25,22
rpsF,16453,9066,14835,30007,33950,33275
priB,14482,9075,14203,29112,32752,32336
rpsR,15883,10223,16170,33957,38801,38425
rplI,15924,10224,15463,32867,37575,36533
yjfZ,43,25,43,147,147,187
ytfB,679,726,560,544,553,514
fklB,3747,1629,3941,2296,2574,2443
cycA,5004,6353,5561,1199,1690,1478
ytfE,843,400,393,138,176,156
ytfF,315,227,271,75,82,84
qorB,121,135,114,34,81,62
ytfH,81,76,62,41,72,55
cpdB,606,887,789,433,552,504
cysQ,1292,1534,907,401,470,405
ytfI,50,18,29,14,14,14
ytfJ,51,113,61,57,73,78
ytfK,726,754,695,395,521,493
ytfL,1543,1034,1134,1004,1111,1096
msrA,3107,2392,3097,358,406,422
tamA,914,734,864,421,516,487
tamB,3436,2930,3111,1601,2011,1936
ytfP,944,839,952,227,235,225
yzfA,65,62,52,18,26,37
chpS,107,266,156,38,47,50
chpB,105,182,117,48,51,59
ppa,18644,9941,20095,13765,14869,14675
ytfQ,168,536,229,102,119,110
ytfR,84,206,113,58,66,50
ytfT,79,91,68,46,48,29
yjfF,172,244,170,69,102,96
fbp,1242,1956,1572,977,1457,1375
mpl,3766,2398,3459,2431,2879,2590
yjgA,1937,1468,1788,1070,1385,1389
pmbA,3891,3221,3635,1740,2225,2120
nrdG,529,765,467,1833,1469,1417
nrdD,3710,6746,3166,12654,10499,10208
treC,119,123,161,1030,1456,1261
treB,101,996,386,1423,2125,1813
treR,336,696,322,225,241,217
mgtL,678,524,512,1005,944,1121
mgtA,3293,3062,4358,35955,41648,43429
ridA,6550,5391,10461,7004,7590,8169
pyrI,8070,4379,12519,351,466,491
pyrB,8202,3557,12292,122,163,154
pyrL,154,89,111,19,30,17
yjgH,347,215,230,33,49,34
bdcA,65,55,81,48,56,53
bdcR,115,71,111,40,41,41
tabA,269,488,282,255,274,277
yjgL,133,138,126,52,70,74
argI,660,1268,979,949,1203,1164
rraB,4969,6939,5564,4848,5694,5247
yjgM,243,167,200,85,88,77
yjgN,20,16,13,10,4,9
valS,10332,7311,10575,11485,14128,13293
holC,694,365,609,594,921,843
pepA,2579,1695,2457,2254,3011,2797
lptF,1483,1137,1235,1243,1564,1427
lptG,1317,916,1097,935,1132,1082
yjgR,833,517,655,111,154,140
idnR,286,216,268,32,26,31
idnT,226,177,194,46,58,64
idnO,32,35,40,24,21,21
idnD,7,21,28,20,19,21
idnK,19,18,20,18,22,23
ahr,506,482,325,113,123,126
leuX,62,23,57,95,129,113
insC-6,137,122,119,69,66,89
insD-6,152,140,149,52,69,74
yjgZ,20,21,28,12,19,19
insG,183,119,196,81,96,83
yjhB,56,38,45,23,20,25
yjhC,60,46,58,41,57,44
ythA,9,5,7,2,6,5
insI-3,212,171,201,162,206,211
fecE,391,365,511,74,103,114
fecD,273,225,274,55,81,77
fecC,478,397,592,85,105,121
fecB,1075,1146,1258,138,170,168
fecA,1911,1364,2527,82,103,108
fecR,5274,2714,6195,66,111,89
fecI,9173,5195,9978,93,125,147
insA-7,215,206,172,68,85,72
yjhU,639,660,542,555,656,645
yjhF,82,74,73,16,41,34
yjhG,463,422,391,252,298,354
yjhH,56,57,61,37,53,28
yjhI,4,10,10,10,11,10
sgcR,64,69,35,20,8,16
sgcE,52,57,53,36,33,50
sgcA,47,67,64,29,39,32
ryjB,87,68,75,23,27,38
sgcQ,1373,1238,1334,375,488,439
sgcC,39,58,39,27,21,26
sgcB,16,24,13,7,7,12
sgcX,128,157,112,57,69,61
yjhP,41,74,55,60,100,70
yjhQ,15,27,20,25,36,36
topAI,205,227,183,27,45,33
nanS,77,59,70,24,28,36
nanM,50,64,47,13,15,15
nanC,13,31,12,11,6,8
fimB,178,347,312,60,95,117
fimE,187,73,193,9,38,29
fimA,3168,7343,4623,1787,2005,2130
fimI,345,405,408,287,348,339
fimC,112,111,144,108,151,144
fimD,150,212,186,217,241,252
fimF,38,69,47,49,73,37
fimG,50,73,48,67,90,105
fimH,100,136,79,60,94,77
gntP,86,113,74,60,82,58
uxuA,314,538,753,336,445,405
uxuB,371,278,549,296,416,333
uxuR,509,612,579,335,420,395
yjiC,4,12,2,4,9,6
ytiC,1,182,3,1,2,2
ytiD,0,188,4,0,1,1
idlP,0,71,7,92,100,76
iraD,44,240,69,173,210,190
hypT,315,253,325,325,441,379
iadA,1151,734,1331,1161,1410,1340
yjiG,64,62,52,79,123,112
yjiH,17,28,12,32,65,58
kptA,421,432,439,204,259,251
yjiJ,130,124,122,36,44,40
yjiK,228,175,171,82,86,84
ytiA,72,92,57,24,32,41
yjiL,81,89,78,105,101,114
yjiM,188,325,105,352,437,401
yjiN,647,573,428,213,272,279
mdtM,226,288,164,212,243,261
yjiR,405,444,392,112,176,148
yjiS,4,9,7,1,2,1
yjiT,197,239,216,78,109,98
mcrC,46,52,49,123,136,125
mcrB,98,102,91,175,230,240
symE,48,44,62,53,67,64
symR,6,3,9,3,5,7
hsdS,351,190,242,1077,1268,1378
hsdM,1260,582,1194,2741,3573,3293
hsdR,935,1186,933,2193,2720,2530
mrr,296,320,263,328,353,319
yjiA,521,389,547,1353,1439,1264
yjiX,264,250,343,900,905,884
btsT,273,4308,569,10043,12508,10869
tsr,73,58,53,33,39,34
lgoT,193,179,189,73,95,97
lgoR,19,221,76,26,64,50
lgoD,31,16,27,18,53,33
opgB,353,238,465,1491,1784,1808
yjjA,427,227,386,483,521,513
dnaC,564,340,486,426,528,520
dnaT,788,532,744,599,641,694
yjjB,81,125,66,43,48,34
yjjP,234,326,249,73,112,104
yjjQ,34,28,31,5,4,8
bglJ,3808,1973,3377,36,84,67
fhuF,14403,8101,10800,148,316,314
yjjZ,1117,1004,970,39,33,58
leuV,246,104,218,47,68,45
leuP,254,88,191,69,99,69
leuQ,399,226,290,168,214,178
rsmC,2424,1474,2036,1358,1616,1551
holD,749,252,581,723,855,869
rimI,573,183,374,636,725,699
yjjG,1005,485,986,1274,1619,1618
prfC,3561,1261,3379,8710,10584,10162
osmY,1953,1339,950,354,476,441
ytjA,687,498,322,75,68,92
yjjU,1145,1151,1173,322,376,336
yjjV,511,511,581,235,272,233
yjjW,54,62,62,162,217,183
yjjI,79,212,92,1297,1545,1348
deoC,768,1634,664,2708,3592,2989
deoA,1063,1827,839,3019,3797,3258
deoB,4742,4645,4170,16478,20425,18858
deoD,2812,2117,2830,11123,12860,12332
yjjJ,596,385,553,702,905,851
lplA,596,493,645,491,562,536
ytjB,262,195,251,152,200,205
serB,1423,464,1699,1171,1383,1267
radA,878,325,852,521,692,698
nadR,871,782,1015,498,645,634
ettA,3263,1666,3326,3129,3548,3445
slt,2389,1946,2620,2257,2842,2748
trpR,557,447,556,207,210,200
yjjX,506,349,495,264,265,308
ytjC,470,373,431,296,347,373
rob,6698,6980,6005,4540,5606,5103
creA,565,342,458,267,363,377
creB,569,309,567,326,416,390
creC,191,129,185,126,155,127
creD,214,163,163,61,104,102
arcA,4686,5381,4427,7693,8324,8488
yjjY,996,1369,1046,1372,1441,1630
yjtD,157,221,157,200,238,213
proP_1,3423,1460,2985,3554,4067,4139
kdgR_1,445,730,527,414,456,413
,1293540,1417620,1416899,969228,1083587,1009548
rrmA,611,252,546,332,299,372
yebN,48,21,40,74,119,92
manZ_4,1822,1727,2903,1683,1990,1732
manX_1,2207,2527,3784,2683,3410,2803
ycgG_1,153,116,103,121,112,137
dinG_1,987,386,978,820,999,998
yeaZ,445,175,358,557,673,605
slp_1,385,235,358,557,654,648
fadK_1,282,1716,501,1201,1329,1391
caiT_1,15,36,16,10,18,10
dmlR_1,100,351,209,50,72,65
yeaR3,14,7,25,9,8,7
yeaP,1876,867,1777,331,366,409
yeaN,80,72,79,171,121,144
ripA_2,123,145,144,83,106,104
yeaI,23,31,19,121,176,160
mipA_1,1215,430,967,1602,1674,1761
yvgN_2,705,415,514,206,256,278
yeaA,670,1103,1088,344,414,418
tdh_1,30,17,33,9,13,4
ydjE_1,11,13,10,7,4,4
gutB_1,7,8,7,6,11,9
fbaA_2,7,8,7,7,8,5
ydjH_2,12,15,14,12,17,21
yhdN_2,41,37,40,13,31,17
glpR_1,53,71,62,22,16,22
ydjE_2,56,36,33,30,26,27
ydjB,438,295,445,340,377,366
sppA_3,1653,906,1761,1263,1484,1539
ynjE_1,217,321,143,302,270,274
ydjR,82,49,83,38,36,47
chbC_2,94,93,72,125,149,141
chbA_2,35,36,25,17,26,32
celF_1,62,80,79,56,81,62
yniC,411,354,408,261,264,287
arpB,13,24,30,12,9,12
cdgR,143,370,104,426,432,528
ydiA,482,488,544,76,126,113
fadK_2,12,57,18,6,10,10
insB1_1,87,117,79,48,61,57
fadK_3,86,101,96,23,26,33
etfA,36,33,30,16,19,20
etfB_1,26,24,23,8,7,13
ypdC_1,42,90,47,18,24,19
caiA_1,29,29,22,6,12,17
atoD_1,11,9,8,6,6,10
ydiI,197,158,216,53,65,59
sufA_1,2932,502,1913,39,49,45
ynhG,1748,2594,964,292,374,365
lpp_1,50202,100637,53238,46908,51568,55275
ydhZ,58,64,35,21,29,19
dmsB_1,54,57,67,45,59,59
flu_1,1088,1015,827,551,623,610
allS_1,154,77,140,98,118,112
ydhO,180,183,164,126,127,128
ydhD,1400,1080,1253,824,967,961
aaeB_1,406,312,268,529,614,605
yibH_1,92,75,109,459,524,570
gst,452,922,549,220,258,238
tppB,1124,1024,699,793,957,861
rnfE,358,195,341,426,593,525
rnfG,303,123,235,326,412,372
rnfD,549,191,423,590,746,745
rnfC,1556,503,1385,1284,1553,1748
rnfB,426,122,381,186,222,207
rnfA,906,209,724,191,180,219
malY_2,484,869,546,263,264,253
kstR2,531,908,550,426,488,485
ynfM_1,1428,482,1057,464,511,554
hcaR_1,82,44,60,35,37,46
ynfJ,96,79,105,117,110,107
dmsB_2,40,77,37,318,318,302
dmsA_1,103,203,120,841,835,901
dmsA_2,330,422,284,844,950,829
rspA_2,50,91,177,17,13,17
recE_1,165,73,134,21,25,25
gnsA_1,270,188,251,137,125,178
ydfO_1,20,18,17,7,9,10
yhjE_1,85,78,69,22,26,22
por,43,90,75,66,60,68
cinA,71,71,88,28,39,52
ydeH_1,313,316,331,439,574,576
yneM,170,692,281,1715,2021,2029
marR_3,67,51,73,93,103,108
marC_1,310,236,251,94,108,116
sotB,413,436,319,213,236,243
gltR,295,73,161,54,59,78
yneI,390,300,390,113,146,139
glsA2,482,271,483,406,393,420
ycdT_1,348,316,341,148,164,168
yneA,36,41,38,9,13,24
ydeZ,33,25,29,19,12,21
lsrK_1,180,210,219,32,37,46
fimD_1,0,2,4,96,158,146
fimF_1,1,1,3,31,44,63
fimH_1,4,1,0,90,116,141
fdhF_1,75,71,64,162,264,188
yneN,0,2,0,1,1,0
gadW_1,2,1,7,4,3,6
gadB_1,2840,16070,832,554,415,571
dos,482,340,381,27,26,35
rpsV,3784,4247,1700,473,474,561
flr,85,105,61,11,10,21
fecA_1,384,128,234,38,59,71
yncA,386,483,372,100,102,97
ydcX,167,80,131,17,22,19
ydcW,359,164,219,23,33,38
potA_1,63,141,69,11,13,16
potF_1,100,639,150,16,31,33
yhbU_1,579,411,689,648,677,757
sinR,83,91,84,86,97,91
mdoD,902,584,942,899,982,1026
gapC_1,6742,5738,5110,1186,1245,1366
gapC_2,7372,5341,5271,1253,1322,1320
gapC_3,4154,3871,3352,803,804,857
ydbC,180,409,201,97,166,141
orf230_1,111,129,122,63,73,83
orf231_1,143,148,157,58,72,72
caiE_1,81,66,58,34,32,31
caiD_1,12,12,10,5,12,6
ydbH_1,251,194,189,192,255,251
porA,1029,1070,935,1737,1795,1808
ompN_1,31,37,19,14,20,15
insH,156,152,140,65,86,88
dnaC_1,16,9,13,1,7,3
recE_2,79,85,82,30,32,33
xerC_1,183,88,166,133,156,170
ydaO,1342,694,1097,1111,1292,1264
ydaM,750,387,428,70,83,103
ydaL,321,197,260,122,153,129
yxeP2,46,47,53,25,21,22
ogt_1,274,201,279,106,77,108
dmlR_2,133,91,96,47,83,71
ycjI,939,1143,707,332,379,374
ccpA,129,55,101,83,69,60
ycjV,6,9,10,4,6,2
yvdM,4,16,10,3,2,4
kojP,74,64,78,22,38,23
gtfA,18,12,21,5,14,18
plaP_1,243,88,215,36,45,45
