Geneid,M9-41T-3,M9-41T-4,M9-41T-5,TB-41T-4,TB-41T-5,TB-41T-6
yhdH,309,395,361,326,310,305
accB,5340,2036,5021,8289,9782,9278
accC,13121,5411,12307,23078,27702,26370
yhdT,160,40,96,214,268,219
panF,836,449,722,1455,1865,1687
prmA,910,590,773,1533,1890,1719
dusB,7971,2705,6545,6536,8019,7948
fis,3254,1516,2664,3074,3553,3610
yhdJ,485,711,866,129,157,191
yhdU,40,13,41,7,15,14
envR,10,3,9,8,9,10
acrE,49,39,47,17,22,32
acrF,280,314,271,121,199,189
yhdV,121,175,171,323,380,416
yhdX,44,55,34,12,21,19
yhdY,30,52,49,36,60,43
yhdZ,53,84,49,23,26,20
rrfF,1,0,0,0,0,0
thrV,56,31,58,59,70,62
rrfD,3,2,2,4,5,6
rrlD,5472,11367,8367,11851,12768,5153
alaU,270,93,202,113,100,110
ileU,337,148,189,105,118,119
rrsD,1943,4005,2761,4232,4912,1613
yrdA,2510,1841,2622,707,843,767
yrdB,385,263,386,127,128,125
aroE,2264,1809,1974,1513,1875,1839
tsaC,847,592,741,562,702,662
yrdD,1174,1383,1268,565,655,634
smg,5487,9457,5849,1959,2503,2353
smf,1147,1662,1291,479,589,519
def,2812,3638,2947,2877,2978,3147
fmt,5333,5306,4952,5895,6399,6331
rsmB,4955,4320,4507,5810,6283,6257
trkA,1885,1746,1822,2238,2553,2340
mscL,2428,1817,1776,604,758,723
arfA,104,116,95,28,24,18
zntR,541,983,449,196,231,250
yhdN,70,119,63,55,59,55
rplQ,7645,5257,7155,10541,13034,11431
rpoA,94166,75235,101124,143724,179657,167513
rpsD,70092,54668,75148,105449,131515,121497
rpsK,22729,16530,22350,30528,38874,34626
rpsM,47056,38903,46771,64848,77925,73929
rpmJ,12620,16160,13545,15699,19063,18486
secY,105025,103921,104657,148446,186833,171957
rplO,36202,30835,34116,54510,72402,63691
rpmD,10070,9104,9903,16132,20668,18785
rpsE,41143,32241,38907,68829,88767,81540
rplR,31426,24049,31352,56922,73438,67584
rplF,58785,40218,56232,109336,138132,128954
rpsH,30819,18857,29997,55866,71409,66086
rpsN,23550,14116,22787,43564,54467,50755
rplE,47300,27540,42867,79695,101435,94775
rplX,44307,26803,42397,72358,88966,85904
rplN,71643,40242,68916,108174,136153,129815
rpsQ,23519,21544,26441,38434,47471,44544
rpmC,5934,5477,6721,9674,12134,11030
rplP,20556,17352,21961,32426,42744,36731
rpsC,63697,57735,72155,111552,141977,131372
rplV,29980,21472,31729,55230,70426,64337
rpsS,24558,16856,25081,46763,56704,53967
rplB,44815,28489,43582,85577,107034,97892
rplW,19986,11501,17961,37486,45035,41808
rplD,50076,27559,45289,93780,115782,106433
rplC,66104,36099,58030,128192,156190,147323
rpsJ,37261,20791,30988,69141,78617,79356
gspB,54,33,41,21,25,29
gspA,94,34,55,28,30,29
gspC,18,10,18,16,7,11
gspD,104,72,94,59,83,88
gspE,34,36,32,26,34,48
gspF,46,53,44,36,35,26
gspG,20,10,13,6,15,10
gspH,5,6,11,7,6,10
gspI,15,14,15,4,6,5
gspJ,33,22,15,13,11,13
gspK,66,67,63,37,39,40
gspL,527,246,448,268,324,342
gspM,82,37,49,38,50,53
gspO,191,205,244,42,37,43
bfr,1176,1320,1361,191,178,180
bfd,818,694,801,10,20,22
chiA,590,683,618,472,623,540
tufA,54304,49899,62004,40093,47664,45588
fusA,61383,44382,69188,74715,95092,88011
rpsG,29016,18374,29537,35910,44046,43176
rpsL,47293,28281,48861,57220,70575,69149
tusB,394,340,331,435,615,558
tusC,643,382,636,403,495,512
tusD,725,492,719,386,463,414
yheO,3812,2620,3781,1890,2069,2112
fkpA,4731,2413,3999,5898,6009,5879
slyX,300,125,272,197,262,211
slyD,12926,8184,13012,6459,7618,7197
yheV,409,312,392,83,111,115
kefB,733,627,723,213,303,261
kefG,620,507,601,214,276,277
yheS,3138,1512,3163,2993,3648,3597
yheT,434,201,379,341,451,400
yheU,456,343,395,228,286,260
prkB,1224,934,1136,440,493,472
yhfA,1399,1286,1575,506,561,588
crp,12556,11562,12586,5255,6431,6254
yhfK,3038,1954,2980,1892,2279,2163
argD,1934,1764,2207,2628,3475,3332
pabA,232,158,174,92,102,156
fic,998,1180,580,445,509,449
yhfG,479,503,331,260,270,311
ppiA,1651,658,1447,2329,2302,2515
tsgA,2286,932,1146,699,910,859
nirB,2300,1809,6323,8815,11283,10784
nirD,243,314,975,1634,2036,2078
nirC,133,116,592,1009,1231,1260
cysG,1990,1234,2881,2641,3320,3168
yhfL,34,39,41,106,127,136
frlA,16,15,20,8,17,9
frlB,66,55,41,29,26,41
frlC,27,26,29,9,13,6
frlD,100,73,96,42,44,43
frlR,253,291,195,150,147,174
yhfS,57,57,59,41,45,28
yhfT,109,104,117,51,60,75
yhfU,83,64,85,17,32,35
php,32,21,34,13,28,19
yhfW,64,81,53,27,24,29
yhfX,8,15,14,0,3,5
yhfY,11,21,10,3,1,3
yhfZ,68,294,199,41,53,46
trpS,4429,3565,5177,2689,3371,3271
gph,1827,1712,2084,1335,1709,1667
rpe,1268,1343,1529,888,1148,1018
dam,2782,2300,2870,2212,2652,2782
damX,9046,6750,9190,7797,9518,9265
aroB,7053,4883,6700,5652,6632,6379
aroK,5188,3709,4572,4666,4918,4980
hofQ,114,100,96,44,79,51
hofP,11,13,10,11,8,17
hofO,18,16,16,12,24,20
hofN,20,20,26,12,18,12
hofM,73,75,74,37,36,27
mrcA,1135,485,1084,1072,1209,1217
nudE,923,605,1111,309,397,412
igaA,671,874,731,867,1043,1025
yrfG,810,724,664,905,1327,1266
hslR,618,543,570,830,1314,1175
hslO,1751,1518,1596,2706,4115,3880
yhgE,485,354,382,311,395,348
pck,1504,5109,3290,3776,5725,4716
envZ,980,807,870,1141,1490,1479
ompR,1705,1936,1628,1978,2298,2292
greB,277,311,266,270,377,358
yhgF,2436,1271,2843,2826,3402,3269
