Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
etp,22,13,17,17,12,12
gfcE,37,36,47,39,46,43
gfcD,111,78,85,147,151,154
gfcC,15,9,14,59,59,47
gfcB,19,16,12,62,53,55
gfcA,123,129,105,460,476,423
insA-4,153,140,119,304,310,311
insB-4,2040,2062,1664,1080,1269,1181
cspH,78,94,89,151,209,219
cspG,4127,4730,4412,29381,41436,35851
ymcF,888,933,863,8309,10415,10569
ymcE,36,38,45,148,164,156
gnsA,56,55,53,227,260,222
yccM,155,111,138,476,475,456
torS,353,314,352,609,540,558
torT,98,94,94,193,180,170
torR,109,105,92,126,110,103
torC,41,49,41,33,31,24
torA,218,231,230,91,99,94
torD,249,249,282,321,229,235
cbpM,163,108,112,263,172,179
cbpA,1163,1015,992,2761,1955,1881
yccE,13,5,13,17,22,28
agp,899,913,819,2061,1259,1279
yccJ,200,194,146,1630,840,914
wrbA,270,298,249,3615,2034,1853
ymdF,34,25,34,19,10,15
rutG,184,203,187,77,58,77
rutF,16,16,7,3,5,7
rutE,28,37,36,10,29,10
rutD,27,32,15,14,13,12
rutC,25,21,20,11,11,13
rutB,14,18,12,4,4,7
rutA,12,10,10,8,17,16
rutR,89,94,84,77,78,65
putA,384,432,338,560,468,437
ymdG,29,35,34,43,34,33
putP,922,925,871,938,825,785
efeO,642,573,568,170,162,149
efeB,346,364,369,78,88,91
phoH,279,202,153,99,110,126
pgaD,35,25,33,25,33,31
pgaC,40,23,24,76,81,74
pgaB,38,34,48,280,271,328
pgaA,177,167,162,720,540,710
dgcT,57,53,57,57,51,61
insF-4,225,200,205,212,161,192
insE-4,96,87,90,61,53,55
ycdU,9,9,13,18,15,12
serX,25,25,18,16,24,21
ghrA,405,339,356,388,346,320
ycdX,1354,1265,1284,1412,1334,1216
ycdY,1322,1224,1222,1541,1370,1160
ycdZ,592,608,513,873,784,704
csgG,872,984,660,131,100,97
csgF,470,592,351,46,22,17
csgE,362,398,231,17,12,4
csgD,1452,1948,1152,45,52,42
csgB,40,65,32,15,11,2
csgA,118,126,108,23,31,18
csgC,22,13,17,15,8,16
ymdA,46,41,43,39,40,28
ymdB,1385,1282,1284,593,480,446
clsC,689,527,577,261,265,250
opgC,150,174,177,584,601,538
opgG,1302,1118,1057,4696,4212,4247
opgH,1455,1235,1182,5630,5241,5042
yceK,172,152,148,385,221,225
msyB,265,261,251,671,415,429
mdtG,326,283,250,976,967,913
lpxL,530,428,517,908,804,834
yceA,517,371,427,222,148,154
yceI,219,234,178,124,138,155
yceJ,146,128,111,118,141,130
yceO,35,34,37,21,34,42
solA,1334,1424,1284,934,945,882
bssS,11283,15316,14742,5145,6106,6021
dinI,701,486,697,554,580,557
pyrC,5921,3646,5160,2593,2422,2288
yceB,1683,1615,1628,1709,1749,1777
grxB,6298,7456,7059,3670,3436,3194
mdtH,125,107,95,76,67,54
rimJ,543,484,568,608,566,483
yceH,267,211,227,269,219,206
yceM,345,308,341,315,284,240
murJ,509,505,470,790,745,735
flgN,425,463,420,170,160,168
flgM,428,458,478,138,133,144
flgA,88,103,89,54,59,45
flgB,13,11,10,8,14,4
flgC,13,8,9,6,7,5
flgD,30,32,37,14,17,22
flgE,106,91,80,53,65,41
flgF,82,87,72,24,37,35
flgG,102,81,74,37,46,29
flgH,39,51,41,22,18,18
flgI,63,71,52,32,51,30
flgJ,49,40,38,27,35,24
flgK,130,149,161,100,110,97
flgL,303,381,383,105,144,125
rne,12222,11158,10623,25997,26495,24786
yceQ,702,664,652,876,743,675
rluC,1394,1329,1193,3303,3532,3312
yceF,669,636,574,357,366,418
sraB,2280,2532,2381,1628,1906,1777
yceD,8078,7743,7488,11533,12048,11795
rpmF,22797,19802,21060,34416,37350,35192
plsX,3380,2967,2748,11517,11807,11151
fabH,4272,3761,3667,15780,15382,15295
fabD,7197,6214,6334,18920,20128,19815
fabG,10395,9742,9848,8636,9761,9180
acpP,9130,8617,9041,10902,11123,10576
fabF,14650,13172,13294,25185,25544,24804
pabC,919,881,927,1118,1090,1090
mltG,303,249,253,413,362,356
tmk,1203,1230,1168,1705,1698,1603
holB,1740,1595,1567,2230,2296,2151
ycfH,1666,1703,1503,1494,1663,1605
ptsG,9037,6529,8482,2570,2684,2760
fhuE,10081,9130,8906,191,210,215
hinT,890,858,876,692,613,522
ycfL,654,616,639,542,389,349
lpoB,2668,2538,2560,1791,1425,1386
thiK,327,317,327,349,268,274
nagZ,1557,1482,1514,1375,1312,1219
ycfP,625,696,635,1248,1153,1105
ndh,14876,13210,12169,6823,5256,4761
ycfJ,399,412,329,615,542,579
comR,355,357,358,422,291,233
bhsA,162,172,167,6089,1646,1468
ldtC,576,474,521,711,680,685
mfd,5710,4951,4822,4605,5243,5126
ycfT,77,102,82,29,39,35
lolC,1360,1080,1167,2116,2122,2041
lolD,416,258,329,726,627,627
lolE,3134,2421,2642,3830,3779,3694
nagK,2571,1952,2091,2400,2275,2210
cobB,747,525,555,624,562,555
ycfZ,62,40,76,85,142,145
ymfA,51,38,44,107,129,166
potD,2900,2494,2695,5186,5380,5395
potC,972,880,936,3620,3690,3612
potB,1961,1723,1865,7138,7336,6783
potA,1695,1528,1546,5181,5129,4698
pepT,1409,1592,1463,2018,1848,1710
roxA,1511,1298,1218,1814,1723,1578
phoQ,674,501,538,2585,2545,2357
phoP,986,907,908,5214,4756,4467
purB,4820,2760,3680,3348,3297,3145
hflD,1266,833,1050,1449,1547,1350
mnmA,4066,3471,3633,6716,6717,6420
nudJ,241,176,175,513,454,445
rluE,590,454,473,966,924,862
icd,7071,8894,5368,2613,2222,2126
ymfD,10,12,18,25,26,38
ymfE,15,10,15,42,34,42
lit,50,47,33,149,159,151
intE,66,60,54,40,36,28
xisE,18,19,13,12,10,5
ymfH,90,69,86,25,22,31
ymfI,277,293,252,152,126,134
ymfJ,80,57,67,41,36,50
ymfK,124,125,157,276,308,266
ymfT,25,38,29,19,10,11
ymfL,145,117,116,54,53,38
ymfM,31,19,16,12,11,17
ymfN,22,12,11,10,8,12
ymfR,4,1,1,0,1,0
beeE,5,3,5,2,3,5
ymfQ,6,3,5,3,4,5
ycfK,0,4,3,8,5,3
tfaP,4,6,2,6,7,0
tfaE,9,9,13,6,9,4
pinE,6,3,2,1,1,4
mcrA,57,72,54,34,31,22
iraM,4,5,2,43,54,63
ymgK,1,2,2,7,10,8
ymgL,3,3,6,11,7,16
ycgX,86,111,90,74,79,80
bluR,1483,1314,1318,369,410,355
bluF,1202,819,637,491,502,491
ycgZ,19,26,18,10,19,29
ymgA,8,6,6,7,13,10
ariR,12,10,11,9,15,18
ymgC,14,9,13,19,22,10
pdeG,27,24,15,11,12,6
ymgF,27,14,13,24,22,35
ymgD,84,103,111,2315,2898,2976
ymgG,7,16,11,528,561,600
ymgI,11,7,11,400,509,573
ymgJ,7,12,6,8,7,4
minE,1238,936,1034,1193,1201,1058
minD,5122,4203,4601,4841,4883,4624
minC,4931,4203,4326,3199,3552,3344
ycgJ,648,806,679,290,277,299
pliG,337,297,276,334,352,307
ycgL,349,305,358,351,305,294
ycgM,817,766,722,433,402,399
ycgN,419,382,346,279,304,299
