Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
hipB,93,83,83,79,111,95
lsrK,171,177,159,51,48,46
lsrR,135,131,86,48,39,33
lsrA,49,66,61,30,24,22
lsrC,39,50,50,25,28,16
lsrD,38,26,31,13,9,20
lsrB,38,39,35,20,20,22
lsrF,54,64,58,45,35,44
lsrG,66,75,68,27,30,31
tam,240,227,224,231,151,153
yneE,490,490,518,242,226,214
uxaB,227,220,206,568,361,287
dgcF,314,313,276,191,146,142
yneG,1187,1152,1138,619,694,635
glsB,496,417,415,483,484,461
sad,372,380,357,143,149,109
yneJ,198,182,177,63,71,79
yneK,23,25,22,7,11,5
ydeA,214,226,199,330,280,266
marC,129,132,136,148,104,111
marR,37,26,28,149,112,124
marA,110,90,86,582,484,488
marB,73,77,48,373,285,344
eamA,495,469,412,205,213,153
ydeE,191,152,170,108,82,79
mgtS,60,45,36,1389,1210,1543
mgrR,18,23,16,89,86,111
dgcZ,389,276,319,515,560,669
ydeI,49,60,53,51,38,35
ydeJ,44,62,37,57,56,70
dcp,1792,1997,1700,1447,1360,1344
ydfG,1785,1468,1527,1226,1139,986
ydfH,1489,1285,1264,1942,1785,1646
ydfZ,60,63,40,917,983,1027
ydfI,66,73,64,136,173,162
ydfJ,62,67,62,37,35,30
ynfT,2120,2859,2138,285,429,426
ydfK,2293,3152,2440,337,481,485
pinQ,448,411,320,192,196,181
tfaQ,42,32,38,29,42,33
ydfN,43,53,51,15,11,14
nohA,16,23,20,10,13,6
ynfO,36,29,35,23,24,16
ydfO,16,30,20,10,21,14
gnsB,165,178,221,178,185,209
ynfN,376,223,264,20,41,65
ynfR,255,167,154,25,34,38
ynfQ,1295,874,908,114,172,183
cspI,4944,3906,3869,499,827,806
rzpQ,171,225,184,39,44,44
rzoQ,0,0,0,0,0,0
rrrQ,45,48,48,69,91,94
ydfR,34,32,33,87,103,109
essQ,8,8,8,34,40,53
cspB,1233,693,743,8985,9184,9177
cspF,486,453,460,518,541,554
ynfS,315,318,325,449,475,441
ydfT,64,67,67,70,72,100
ydfU,44,63,59,35,39,32
rem,41,44,52,25,25,26
hokD,218,278,328,68,50,60
relE,354,409,520,100,95,90
relB,590,782,982,200,192,157
ydfV,113,117,102,35,45,39
flxA,27,20,28,10,17,27
ydfW,7,4,3,4,3,4
ydfX,4,9,12,1,8,3
dicC,1,2,3,0,3,0
dicA,366,367,399,350,343,344
ydfA,5,5,6,11,15,9
ydfB,22,35,35,24,22,35
ydfC,53,64,54,23,20,25
dicF,3,0,3,4,4,4
dicB,1,3,0,5,4,2
ydfD,0,0,0,10,9,12
ynfP,3,2,5,5,2,2
rspB,169,252,199,34,34,28
rspA,55,83,56,13,16,19
ynfA,149,157,163,70,85,73
ynfB,983,948,984,3719,3692,3169
speG,1002,943,899,3714,3675,3542
ynfC,159,141,126,174,161,127
ynfD,312,373,298,543,392,460
ynfE,327,296,284,1511,1522,1428
ynfF,129,107,111,2057,2038,1529
ynfG,43,53,56,674,792,604
ynfH,511,532,535,1754,1776,1490
dmsD,1559,1501,1507,1914,2044,1697
clcB,108,113,84,166,174,181
ynfK,470,342,402,860,891,808
mlc,925,588,687,489,481,482
ynfL,77,82,78,55,74,42
ynfM,1928,996,1413,511,561,516
asr,24,33,30,47,45,44
ydgU,2,3,3,0,2,5
ydgD,327,322,332,437,534,413
mdtI,253,215,225,1342,1834,1599
mdtJ,347,309,332,2349,3471,2853
tqsA,281,268,226,465,489,491
pntB,3626,3487,3299,2094,1818,1657
pntA,3487,3376,3256,2379,1977,1703
ydgH,4208,3964,3769,2314,2145,1993
ydgI,390,397,409,1950,1852,1610
folM,557,498,492,626,589,576
ydgC,320,266,226,91,123,108
rstA,996,974,1006,2706,2796,2629
rstB,963,713,769,1897,1672,1629
tus,336,315,368,335,341,253
fumC,317,261,227,276,309,239
fumA,512,442,396,608,586,482
manA,2114,2138,2028,3842,4189,3842
ydgA,2597,2802,2469,9224,7639,7175
uidC,10,14,10,10,14,14
uidB,65,77,80,48,30,38
uidA,174,176,148,91,86,86
uidR,549,582,568,401,464,383
hdhA,528,564,452,939,634,628
malI,394,271,323,180,185,167
malX,628,629,637,259,286,269
malY,486,484,574,195,211,228
add,1322,1880,1504,2970,3046,2499
ydgJ,4449,3628,3740,1923,1919,1831
blr,67,33,58,135,162,160
cnu,413,363,357,773,855,730
ydgK,1212,963,1068,1989,1897,1918
rsxA,648,631,563,552,448,447
rsxB,328,278,261,565,468,437
rsxC,1017,900,1006,3741,3383,2974
rsxD,338,349,376,1121,1186,1177
rsxG,187,145,207,226,323,320
rsxE,279,218,279,196,277,297
nth,276,254,282,146,189,134
dtpA,3790,2700,3229,2345,1968,1781
gstA,458,458,395,434,355,336
pdxY,2250,1539,1690,2114,2184,2022
tyrS,6595,6173,5944,7825,7181,6812
pdxH,2246,1721,1968,1963,1987,1817
mliC,155,169,181,261,259,340
anmK,916,861,822,754,717,724
slyB,2586,2577,2376,18806,17357,16941
slyA,2928,2799,2889,3264,3458,3237
ydhI,159,170,184,772,762,706
ydhJ,104,76,84,672,650,607
ydhK,254,308,204,645,590,593
sodC,1168,1724,1139,434,364,318
ydhF,1069,1131,1084,595,520,483
ydhL,18,21,10,8,13,14
nemR,85,81,73,572,314,266
nemA,463,395,374,1671,960,849
gloA,644,520,592,1194,931,810
rnt,1268,1125,1116,2349,2308,2115
lhr,1393,1131,1099,762,746,761
grxD,1159,1061,1154,1303,1162,1138
mepH,179,131,120,172,173,154
sodB,509,489,510,30864,25634,22640
ydhP,419,442,379,773,585,487
ynhF,262,258,212,264,139,170
purR,2480,2011,1983,2994,2614,2422
ydhB,117,115,86,95,121,115
ydhC,143,174,182,11456,7827,6701
cfa,8012,6847,7489,8491,6788,5593
ribC,1561,1526,1333,1464,1387,1178
mdtK,1903,2316,1951,3890,3702,3698
ydhQ,640,636,577,748,584,607
valV,3,8,8,4,9,9
valW,40,38,36,111,131,155
ydhR,259,302,302,835,811,778
ydhS,143,155,138,167,122,131
ydhT,45,33,28,51,42,32
ydhU,37,35,35,31,36,33
ydhX,54,55,57,66,73,59
ydhW,33,26,37,36,37,44
ydhV,31,25,37,216,177,183
ydhY,7,7,6,159,164,160
fumD,36,26,30,37,34,28
pykF,22040,16930,17130,30844,29267,26803
lpp,44019,40576,41186,71384,72142,77906
ldtE,1369,1619,1573,959,645,655
sufE,3839,3661,4183,771,375,423
sufS,12917,12135,13690,2194,1010,1105
sufD,14166,13272,14923,2404,1045,1075
sufC,7627,6925,7808,1141,473,525
sufB,18812,17424,19931,1705,770,827
sufA,1822,1603,1946,163,79,85
rydB,254,313,251,42,32,24
ydiH,18786,18924,18260,1927,1968,1984
menI,211,135,133,80,77,51
ydiJ,2785,1926,2107,890,789,669
ydiK,1450,1597,1619,797,756,694
rprA,6,4,6,10,6,5
ydiL,8,6,10,7,12,12
ydiM,16,12,15,16,20,10
ydiN,12,2,3,16,23,18
ydiB,101,97,94,54,73,41
aroD,691,603,606,239,171,154
ydiF,11,13,14,12,11,7
ydiO,20,29,28,24,18,14
ydiP,57,62,57,26,36,26
ydiQ,29,16,27,16,9,19
ydiR,42,38,40,20,17,20
ydiS,57,63,58,33,27,30
ydiT,15,17,12,11,7,13
fadK,106,103,104,46,52,47
ppsA,2735,2783,2534,2340,2248,2287
ppsR,396,405,365,272,251,255
aroH,2478,2150,2039,2037,2005,2002
ydiE,645,489,546,94,91,101
ydiU,9247,8217,7989,402,384,335
ydiV,125,93,114,540,567,571
nlpC,419,384,361,420,381,374
btuD,649,647,452,621,480,422
btuE,758,650,515,559,386,407
btuC,401,298,322,463,500,458
ihfA,1737,1754,1782,1686,1348,1243
pheT,5218,5630,4778,17367,18346,15708
pheS,2118,2092,1810,9855,10073,8758
pheM,326,293,266,145,129,104
rplT,52268,54916,52565,46343,52742,48598
rpmI,37356,41603,39426,34681,40015,35826
infC,38025,39308,38646,41107,43029,39122
thrS,50052,50967,46730,73108,70213,61736
yniD,31,14,24,12,10,15
ydiY,242,239,231,646,441,407
pfkB,3582,3781,3606,1877,1617,1438
ydiZ,997,1255,968,449,322,298
yniA,1688,2026,1794,1444,1163,1061
yniB,711,892,772,776,769,661
hxpB,380,374,358,353,325,297
ydjM,49,72,50,207,183,151
tcyP,1066,1238,935,1838,1095,1127
ydjO,20,27,13,6,6,6
cedA,29,35,33,86,53,69
katE,1767,2384,1365,969,526,565
chbG,275,275,276,205,181,157
chbF,73,76,66,99,98,81
chbR,212,237,198,266,316,269
chbA,15,30,19,50,44,49
chbC,78,75,68,201,198,208
chbB,268,280,282,273,363,380
osmE,264,315,199,1318,672,789
nadE,4145,4623,4168,1483,1421,1228
cho,566,590,525,417,353,338
ves,62,63,58,50,62,41
spy,313,424,330,672,617,739
astE,56,34,38,21,31,19
astB,131,141,127,91,104,79
astD,70,66,72,81,101,79
astA,41,37,27,107,90,65
astC,55,38,44,138,146,125
xthA,461,344,362,1130,898,683
ydjX,88,106,103,237,395,408
ydjY,11,24,30,108,171,198
ydjZ,115,115,113,203,288,375
ynjA,71,79,71,77,88,135
ynjB,337,289,293,367,493,530
ynjC,189,174,155,233,295,333
ynjD,80,104,95,82,92,67
ynjE,145,154,171,304,484,540
ynjF,179,151,158,125,124,118
nudG,154,142,158,102,104,84
ynjH,113,90,87,65,52,47
gdhA,8721,8169,6757,1109,990,889
ynjI,552,564,417,126,186,155
topB,2647,2124,2239,5839,5851,5962
selD,1592,1438,1536,3201,2960,2882
ydjA,906,797,681,1382,1105,939
sppA,1035,1051,937,1624,1530,1418
ansA,1215,1029,1047,1589,1496,1335
pncA,376,339,357,458,422,398
ydjE,30,39,28,23,28,28
ydjF,43,41,40,34,22,17
ydjG,48,33,33,32,26,34
ydjH,10,17,13,26,22,35
ydjI,8,6,11,12,8,12
ydjJ,5,9,5,19,22,21
ydjK,14,12,12,15,14,3
ydjL,22,18,22,17,10,20
yeaC,249,221,152,192,140,126
msrB,381,316,256,389,299,288
gapA,145431,89804,95207,102678,116685,102897
yeaD,1056,687,676,792,748,686
yeaE,570,530,535,291,278,294
mipA,650,680,561,2570,2156,2018
yeaG,6360,10995,7556,2634,1327,1307
yeaH,2972,5263,3793,812,404,392
cdgI,20,17,13,157,324,493
dgcJ,245,237,217,403,480,479
yeaK,523,422,521,905,844,822
yoaI,47,37,34,84,108,65
yeaL,359,381,371,476,445,467
nimR,147,126,122,109,100,103
nimT,82,69,79,257,207,161
yeaO,335,334,333,530,476,386
yoaF,183,233,231,255,235,197
dgcP,1014,979,970,489,530,400
yoaK,68,95,88,91,62,62
yoaJ,18,12,24,23,18,16
yeaQ,78,67,51,221,112,122
yoaG,26,18,13,43,36,28
yeaR,10,8,15,12,17,16
leuE,231,190,155,273,258,249
dmlR,86,80,64,23,22,18
dmlA,90,132,123,257,118,96
yeaV,23,16,16,14,6,7
yeaW,23,20,25,25,17,14
yeaX,41,58,61,34,47,62
rnd,2079,2194,2164,2517,2751,2686
fadD,214,249,215,1586,1490,1434
yeaY,382,270,338,978,894,859
tsaB,429,356,332,983,913,923
yoaA,939,957,848,1103,1124,1094
yoaB,839,793,747,962,967,850
yoaC,227,262,221,278,254,223
yoaH,89,92,74,91,71,55
pabB,688,676,651,933,946,769
nudL,274,224,246,289,252,246
sdaA,1315,1967,1656,10177,8150,7859
pdeD,140,136,100,169,125,134
yoaE,1992,1699,1872,522,570,557
yoaL,343,258,289,57,63,71
manX,3568,2494,3061,2618,2087,2104
manY,7335,5398,6520,4870,3850,3939
manZ,2831,2068,2440,1932,1448,1584
yobD,231,182,212,247,222,264
mntP,55,45,53,148,181,237
rlmA,524,509,471,695,667,632
cspC,7118,4978,4846,3351,3168,2757
yobF,7959,5878,5814,3875,3826,3340
yebO,2174,1741,1815,3833,4074,4069
mgrB,472,439,395,2027,2342,2150
yobH,152,129,135,177,124,118
kdgR,344,301,260,665,596,528
yebQ,318,261,250,629,691,597
htpX,2633,2045,2119,4529,4230,4188
prc,8150,6611,7252,15221,14508,13224
proQ,2307,2003,1928,4751,4405,4045
msrC,2085,1822,1718,1893,1829,1689
yebS,502,517,511,571,536,466
yebT,462,380,378,691,597,513
rsmF,361,323,266,668,623,589
yebV,1839,3087,1415,429,310,306
yebW,85,104,94,43,41,35
pphA,196,216,186,116,72,106
ryeA,143,132,102,114,106,123
sdsR,0,0,0,0,0,0
yebY,498,472,462,620,628,577
yebZ,1782,1614,1511,1678,1627,1497
yobA,1792,2026,1873,1922,1964,1841
holE,488,516,479,1304,1324,1200
yobB,85,91,55,61,66,77
exoX,797,874,766,363,295,300
ptrB,858,906,862,903,958,966
yebE,747,641,618,623,786,893
yebF,572,532,503,768,575,568
yebG,500,391,444,725,599,541
purT,1385,617,873,163,191,208
eda,1512,1528,1386,1526,1550,1506
edd,622,619,583,746,842,923
zwf,9160,9688,9167,5243,5017,4843
yebK,930,804,883,425,432,432
pykA,9214,7995,7994,10148,11713,10602
lpxM,435,285,365,856,846,835
mepM,1797,1222,1517,4919,5530,5073
znuA,2462,2032,2119,8340,10525,8418
znuC,766,776,668,792,767,648
znuB,493,479,454,524,547,443
ruvB,2469,2407,2153,1961,1747,1649
ruvA,1125,1099,1150,1215,1153,1121
yobI,2,3,2,3,6,1
yebB,23,22,17,42,49,28
ruvC,2209,2151,1940,3691,4029,3586
yebC,2778,2578,2284,4468,4141,3934
nudB,1396,1291,1157,2076,2012,1833
aspS,9016,8371,7526,14802,14222,13476
yecD,437,403,405,587,488,465
yecE,192,166,151,231,253,240
yecN,543,621,587,515,531,574
cmoA,785,778,723,1516,1401,1355
cmoB,348,323,310,756,694,653
torZ,87,89,95,128,108,98
torY,25,25,26,64,60,47
micL,6,0,0,3,4,2
cutC,1307,1132,1137,743,727,679
yecM,405,433,382,225,205,208
argS,2794,2581,2450,5279,5082,4477
yecT,119,167,152,92,128,94
flhE,17,20,21,14,17,14
flhA,188,223,172,72,55,67
flhB,29,28,20,14,15,14
cheZ,88,94,95,61,63,60
cheY,18,7,22,8,9,15
cheB,44,50,36,38,38,29
cheR,24,27,25,21,22,24
tap,21,10,14,11,7,3
tar,45,34,30,21,18,27
cheW,24,46,40,21,27,15
cheA,62,79,71,78,86,69
motB,21,30,33,21,17,21
motA,17,26,16,22,16,17
flhC,180,118,190,114,114,100
flhD,237,177,166,115,102,116
insB-5,69,96,69,71,63,53
insA-5,46,45,55,60,78,83
uspC,155,161,159,209,183,189
otsA,1537,1980,1196,1425,814,1026
otsB,1251,1618,1003,877,546,772
araH,321,345,285,113,115,107
araG,277,331,315,181,164,171
araF,46,42,44,181,130,151
ftnB,641,562,572,863,922,889
yecJ,458,344,391,603,679,603
azuC,19,18,25,48,32,39
yecR,22,31,36,52,62,52
ftnA,60,48,66,5152,5235,5110
yecH,24,35,40,721,658,709
tyrP,410,415,384,908,907,1040
yecA,2248,2484,2268,1355,1240,1251
leuZ,592,517,591,179,176,158
cysT,363,288,341,142,119,138
glyW,763,586,739,479,477,410
pgsA,1115,1027,1093,1076,1061,976
uvrC,5133,4246,4387,6396,5789,5311
uvrY,1146,1000,1074,1025,952,921
yecU,9,4,7,17,20,16
yecF,146,145,157,307,316,301
sdiA,792,595,551,275,254,268
sdsN,33,41,34,20,44,17
tcyN,288,298,215,213,155,163
tcyL,340,341,307,289,229,206
dcyD,391,381,313,281,244,237
tcyJ,957,1024,800,391,264,226
fliZ,69,81,99,25,36,30
fliA,42,53,26,20,16,21
fliC,980,1049,1029,340,344,396
fliD,169,175,152,163,139,145
fliS,42,36,22,44,22,31
fliT,46,46,21,34,26,29
amyA,1621,1814,1581,966,617,644
yedD,421,357,354,383,311,322
yedE,180,444,470,523,705,707
yedF,47,98,85,85,108,151
yedK,42,31,35,36,26,29
yedL,36,30,28,19,17,23
fliE,49,50,42,51,35,35
fliF,29,43,48,26,19,17
fliG,127,125,119,32,38,36
fliH,46,34,55,25,17,16
fliI,57,45,34,34,33,15
fliJ,17,14,13,9,7,8
fliK,68,78,63,34,49,33
fliL,38,40,45,21,18,20
fliM,88,76,62,37,30,29
fliN,10,9,7,10,7,5
fliO,10,15,15,1,9,4
fliP,22,14,10,8,11,5
fliQ,28,13,22,11,13,17
fliR,97,74,69,25,59,39
rcsA,212,181,194,101,100,99
dsrB,217,230,201,117,111,103
yodD,120,180,114,64,73,86
dsrA,6,7,9,4,5,2
yedP,379,522,409,84,82,77
dgcQ,573,543,534,383,265,271
yodC,98,118,110,78,71,52
yedI,469,498,483,236,254,226
yedA,441,428,407,387,352,343
vsr,252,181,181,178,173,176
dcm,1530,1282,1432,1349,1228,1240
yedJ,1319,1271,1251,916,911,811
yedR,123,129,104,140,104,127
rseX,1,2,0,1,1,2
hchA,378,503,425,2133,1219,997
hprS,146,127,134,134,142,100
hprR,97,102,91,75,71,80
yedX,17,21,33,526,503,408
msrP,128,147,159,671,598,451
msrQ,59,83,68,193,211,147
zinT,14,10,9,264,373,328
yodB,32,53,41,58,79,61
serU,75,79,79,35,31,33
mtfA,745,563,609,146,177,143
asnT,30,23,16,17,23,25
yeeJ,995,1035,1029,561,585,573
shiA,6944,6939,6450,388,383,410
amn,5150,4492,4305,1780,1784,1550
yeeN,1933,1727,1804,3559,4009,3678
asnW,13,6,10,11,18,11
yeeO,599,554,559,248,191,170
asnU,72,67,67,16,21,9
cbl,394,382,390,463,441,499
nac,179,158,162,281,336,273
asnV,6,8,8,13,18,40
ldtA,316,299,298,663,680,625
cobT,827,681,754,546,474,359
cobS,561,548,519,298,261,218
cobU,449,451,472,269,204,178
insH-6,483,497,495,447,485,428
insD-3,177,180,166,116,90,116
insC-3,126,127,125,115,83,106
isrC,78,68,67,79,95,81
flu,3492,2916,2784,6960,5938,5328
yeeR,572,506,471,545,693,564
yeeS,42,49,31,31,35,34
yeeT,9,9,7,13,16,8
cbeA,29,22,13,26,20,19
cbtA,18,21,19,27,24,22
yeeW,60,73,50,33,36,38
yoeF,300,383,331,217,252,272
yeeX,7195,7905,7942,2649,2602,2735
yeeA,745,820,721,627,602,551
sbmC,419,478,394,514,442,429
dacD,365,342,382,410,434,513
sbcB,1745,1508,1520,1655,1575,1558
yeeD,195,190,143,229,183,156
yeeE,425,486,392,638,474,430
plaP,321,341,379,4172,3507,3403
yoeI,62,80,83,758,823,728
yeeY,469,459,467,267,265,249
yeeZ,2994,2965,2940,2878,2507,2416
yoeB,414,471,466,215,203,193
yefM,660,671,603,281,303,271
hisL,12,5,7,1,2,4
hisG,16097,5064,4038,1156,1129,988
hisD,20142,7682,5647,1659,1668,1337
hisC,16028,7271,5127,1548,1573,1247
hisB,10897,5890,4054,1611,1608,1264
hisH,3361,2287,1558,618,641,544
hisA,1939,1455,928,430,432,345
hisF,2734,2652,1633,635,648,618
hisI,1804,1892,1193,761,775,681
wzzB,2076,2123,2002,4918,4505,4562
ugd,469,464,502,394,465,370
gnd,24069,21563,21819,12119,13611,10457
insH-7,920,877,926,698,747,673
wbbK,1443,1592,1510,1065,1410,1069
wbbJ,948,884,836,654,781,606
wbbI,2878,2996,2986,1897,2558,1795
wbbH,1312,1413,1466,631,895,642
glf,3601,3738,3759,1893,2532,2182
rfbX,2119,2247,2371,2894,3728,3760
rfbC,802,816,841,1408,1763,1733
rfbA,3025,2963,2904,5932,6378,6318
rfbD,1696,1561,1575,4212,4104,4062
rfbB,2297,2248,2355,6110,5972,5886
galF,5084,4606,4303,7501,6538,6853
wcaM,272,283,238,142,148,138
wcaL,190,220,157,84,99,101
wcaK,91,83,116,70,78,57
wzxC,39,61,24,27,38,36
wcaJ,35,32,34,19,38,31
cpsG,18,18,27,15,22,20
cpsB,27,27,26,11,15,18
wcaI,42,40,35,21,11,20
gmm,7,12,10,5,4,3
fcl,60,57,41,32,43,30
gmd,81,92,74,35,41,43
wcaF,3,7,5,1,0,3
wcaE,5,11,14,8,6,7
wcaD,20,11,17,7,15,7
wcaC,31,41,36,13,17,15
wcaB,18,20,26,15,12,12
wcaA,21,27,18,12,13,18
wzc,38,31,33,18,11,13
wzb,4,8,4,4,5,1
wza,11,24,14,13,15,15
yegH,307,268,278,1094,1028,875
asmA,2327,2119,2030,2484,2352,2246
dcd,1533,1415,1371,2259,1946,1898
udk,1899,1770,1786,3817,3915,3837
dgcE,524,443,451,354,313,295
alkA,491,465,455,190,132,180
yegD,371,424,364,851,812,951
yegI,107,117,90,112,102,129
yegJ,18,18,10,16,14,14
pphC,15,12,12,11,5,5
yegL,78,74,73,47,24,31
sibA,210,268,301,39,50,40
ibsA,0,0,0,0,0,0
sibB,44,55,44,12,14,7
ibsB,0,0,0,0,0,0
mdtA,68,74,71,117,90,126
mdtB,463,413,401,947,687,675
mdtC,325,291,296,387,397,385
mdtD,146,147,150,78,108,74
baeS,205,201,211,112,107,115
baeR,998,1036,1037,578,605,564
yegP,118,149,127,180,78,106
yegQ,1071,1239,1251,6237,5867,5356
cyaR,69,103,100,459,457,415
ogrK,9,16,13,34,28,21
yegR,11,12,13,25,6,14
yegS,217,208,208,250,167,177
insE-5,101,101,81,57,53,56
insF-5,600,455,523,543,474,372
gatD,13962,8662,13489,11948,7710,6995
gatB,5058,3161,5135,8925,6812,6611
gatA,22606,13377,20897,27332,23305,21746
gatZ,58844,35140,51828,59382,48476,45761
gatY,20659,11689,16390,12559,10669,9465
fbaB,5002,5784,3853,2208,1024,1174
yegT,176,184,188,108,105,85
yegU,123,115,98,83,71,77
yegV,120,108,119,106,94,77
yegW,359,291,334,447,410,391
yegX,93,72,78,120,100,107
thiD,117,115,89,343,228,220
thiM,102,123,109,439,385,346
rcnR,100,65,105,211,156,163
rcnA,111,120,122,204,168,131
rcnB,135,97,134,402,398,400
yehA,5,6,11,32,42,29
yehB,5,3,8,54,61,45
yehC,1,4,2,30,71,48
yehD,103,99,81,209,223,232
yehE,85,121,74,54,53,66
mrp,4363,3886,3874,6683,6819,5895
metG,3139,3181,2757,3998,3856,3470
yehF,26,21,23,24,22,18
yehI,169,165,153,46,59,56
yehK,3,6,0,1,1,3
yehL,14,18,14,41,33,26
yehM,132,169,184,111,143,102
yehP,38,60,51,18,35,33
yehQ,94,113,105,50,69,49
yehR,51,46,46,134,142,148
yehS,251,274,234,844,714,730
btsR,64,64,48,115,111,105
btsS,126,59,87,204,228,172
mlrA,234,236,141,65,40,37
yohO,77,80,67,56,53,43
yehW,281,275,207,236,132,143
yehX,49,34,44,56,29,26
yehY,202,180,139,310,155,150
osmF,104,94,73,150,61,92
bglX,1361,1249,1207,2645,2305,2066
dld,16524,14698,16068,3765,3439,3001
pbpG,1842,1939,1820,1328,1512,1439
yohC,1208,1883,1385,80,44,47
yohD,404,404,394,167,154,161
yohF,180,206,139,78,70,73
yohP,231,463,297,53,28,26
dusC,67,63,55,124,108,120
yohJ,777,597,789,3545,3594,3582
yohK,717,479,704,3104,3083,2673
cdd,1697,1359,1615,6103,5476,4873
sanA,303,254,259,252,260,241
yeiS,79,61,70,153,180,172
preT,85,98,104,1819,1134,1037
preA,62,55,47,1026,607,523
mglC,41,64,36,64,65,54
mglA,42,44,40,28,41,33
mglB,20,35,25,114,96,76
galS,174,148,147,235,224,174
yeiB,1454,1204,1155,525,533,478
folE,10502,10085,9562,3873,3867,3120
yeiG,2828,2023,2325,1321,1275,1124
cirA,8284,5166,7299,254,277,284
lysP,2773,2483,2269,3502,3336,3205
yeiE,1445,1317,1153,682,704,672
yeiH,862,778,773,727,832,844
nfo,1317,1358,1346,1088,1071,1057
yeiI,968,836,888,843,796,740
nupX,13,20,22,14,13,19
rihB,10,2,10,11,9,4
yeiL,25,15,13,10,8,11
psuT,97,82,92,27,27,33
psuG,7,8,5,1,11,7
psuK,8,5,8,2,2,4
fruA,3271,2483,3104,721,490,578
fruK,4401,2986,3996,1203,901,862
fruB,3129,2042,2710,958,796,710
setB,114,135,105,243,237,232
yeiW,216,227,202,181,184,170
yeiP,979,752,903,2654,2681,2497
yeiQ,165,153,126,934,908,689
yeiR,146,152,114,203,183,157
lpxT,139,130,129,1939,2564,2632
mepS,5163,4906,4705,5201,5782,5729
pdeN,577,499,474,493,570,492
yejA,471,381,408,313,311,268
yejB,373,254,272,298,259,237
yejE,381,280,323,418,366,325
yejF,1157,1084,1040,1338,1394,1377
yejG,1777,1613,1466,1549,1685,1695
bcr,1184,1009,1034,1879,2050,1967
rsuA,1751,1744,1575,4281,4100,4011
radD,430,364,342,438,397,437
rplY,6456,5725,5683,17135,17640,15642
yejK,1182,1085,1091,1356,1293,1307
yejL,755,679,661,832,780,800
yejM,5302,4356,4272,4418,4992,4687
proL,16,9,14,9,5,8
insH-8,656,548,575,559,508,474
narP,100,107,103,748,663,743
ccmH,65,57,68,224,255,213
ccmG,37,27,33,104,155,178
ccmF,86,50,44,253,287,303
ccmE,43,21,23,109,99,106
ccmD,20,32,14,75,79,76
ccmC,80,68,55,236,247,237
ccmB,59,45,50,136,171,134
ccmA,68,53,58,114,112,122
napC,108,75,110,317,387,394
napB,29,18,25,207,237,269
napH,37,29,31,808,1147,1040
napG,34,21,26,926,1163,939
napA,114,59,74,3505,4017,2789
napD,8,5,1,192,189,126
napF,45,32,23,723,955,645
yojO,4,9,6,4,16,11
eco,481,523,472,768,785,718
mqo,1199,807,797,419,329,286
yojI,784,618,675,231,220,190
alkB,84,57,69,139,96,100
ada,318,256,315,584,608,507
ftp,178,127,167,841,857,714
ompC,37564,25255,27864,219389,204116,192721
micF,2,3,3,10,11,18
rcsD,2599,2333,2420,2957,2823,2811
rcsB,4961,5508,4903,5921,5707,5421
rcsC,845,754,761,1034,1072,1013
atoS,143,109,132,111,129,127
atoC,80,96,74,103,95,103
atoD,11,25,13,13,11,12
atoA,3,7,4,5,3,1
atoE,33,37,37,24,34,20
atoB,28,45,50,16,20,24
yfaP,14,26,26,12,5,7
yfaQ,88,113,96,40,28,19
yfaT,42,24,33,48,40,51
yfaA,116,100,106,249,218,230
gyrA,17248,15622,14080,32979,32050,31717
ubiG,774,729,668,842,747,723
yfaL,578,562,535,320,324,312
ypaB,2,3,2,0,4,0
nrdA,3651,3826,3278,6120,4117,3921
nrdB,2193,2312,2103,6805,4993,4582
yfaE,58,68,75,233,170,154
inaA,240,252,233,660,542,576
glpQ,275,330,301,1250,1226,1152
glpT,29,26,33,2012,2186,1754
glpA,13,12,10,2444,2455,1934
glpB,22,21,20,3074,3063,2408
glpC,116,109,114,6808,6292,4733
rpnE,120,108,129,353,364,251
yfaU,117,112,124,99,103,83
yfaV,89,78,75,56,46,45
rhmD,13,19,17,58,33,25
yfaX,45,40,44,16,13,20
yfaY,994,872,858,519,455,429
yfaZ,42,44,47,67,94,86
nudI,65,44,27,145,122,111
ais,19,29,18,32,24,21
arnB,132,142,122,183,115,136
arnC,72,68,59,142,93,96
arnA,441,391,378,556,419,384
arnD,124,132,117,107,120,107
arnT,90,82,63,84,82,75
arnE,18,5,15,32,21,37
arnF,126,117,89,572,570,457
pmrD,19,16,14,102,66,65
menE,421,318,304,553,686,616
menC,348,337,284,621,671,621
menB,1397,1223,998,2645,2925,2741
menH,274,252,190,868,975,916
menD,342,285,288,1723,1656,1684
menF,553,529,407,834,733,768
elaB,838,895,597,431,323,279
elaA,265,203,192,111,96,80
rbn,248,238,191,381,376,354
elaD,25,19,28,26,32,37
yfbK,180,176,180,63,42,55
yfbL,5,14,9,8,10,1
yfbM,24,39,30,33,30,27
yfbN,4,8,4,1,2,4
yfbO,31,36,26,19,23,21
yfbP,56,51,54,91,74,99
nuoN,1152,1334,1111,4705,4719,4220
nuoM,389,441,341,2261,2339,2001
nuoL,516,522,473,2786,2911,2610
nuoK,177,235,168,1507,1504,1273
nuoJ,165,181,148,1330,1187,1080
nuoI,258,287,247,2542,2447,2021
